Name of aircraft,Year in service,Country of origin
Aeronca L-3,1941,US
Airspeed Envoy,1934,UK
AVIA FL.3,1939,Italy
Avro 652,1935,UK
Barkley-Grow T8P-1,1937,US
Beechcraft 17 Staggerwing/UC-43 Traveler,1933,US
Beechcraft Model 18/C-45/JRB/SNB/AT-7/AT-11 Expeditor,1937,US
Beneš-Mráz Be-555 Super Bibi,1936,Czechoslovakia
Bloch MB.81 ambulance aircraft,1935,France
Bloch MB.120 mailplane,1935,France
Breda Ba.44,1934,Italy
CAP CAP-4 Paulista,1935,Brazil
Caproni Ca.164,1938,Italy
Caudron C.272,1931,France
Caudron C.280/C.400/C.410,1932,France
Caudron C.440 Goéland,1934,France
Caudron C.480 Frégate,1935,France
Caudron C.600 Aiglon,1935,France
Caudron C.635 Simoun,1935,France
Cessna 165,1935,US
