Date,Player,Former team,Contract terms ( in U.S. dollars )
"July 1 , 2015",Gregory Campbell,Boston Bruins,"2 years , $ 3 million"
"July 2 , 2015",Andrew Bodnarchuk,Manchester Monarchs,"1 year , $ 650,000"
"July 2 , 2015",Brett Gallant,Bridgeport Sound Tigers,"2 years , $ 1.5 million"
"July 2 , 2015",Jaime Sifers,Springfield Falcons,"2 years , $ 1.25 million"
"July 3 , 2015",John Ramage,Calgary Flames,"1 year , $ 600,000"
"July 7 , 2015",Kole Sherwood,Youngstown Phantoms,"3 years , entry-level contract"
"October 1 , 2015",Oleg Yevenko,Adirondack Flames,"1 year , entry-level contract"
"March 21 , 2016",Jordan Maletta,Niagara IceDogs,"3 years , entry-level contract"
"April 15 , 2016",Justin Scott,Barrie Colts,"3 years , entry-level contract"
