Year,Title,Role
2002,Farscape : The Game,Aeryn Sun
2003,Lords of EverQuest,Lady Briana
2005,God of War,Artemis
2005,Neopets : The Darkest Faerie,Fauna
2006,Project Sylpheed,Narrator
2007,Conan,A'Kanna
2007,Crysis,Helena
2009,Uncharted 2 : Among Thieves,Chloe Frazer
2009,Dragon Age : Origins,Morrigan
2010,Mass Effect 2,"Admiral Daro'Xen vas Moreh , Matriarch Aethyta"
2010,Final Fantasy XIV,Narrator
2011,TERA : The Exiled Realm of Arborea,Elf Commander Fraya
2011,Gears of War 3,Samantha Byrne
2011,Rage,"Mel , Sally"
2011,Uncharted 3 : Drake 's Deception,Chloe Frazer
2012,Mass Effect 3,"Admiral Daro'Xen vas Moreh , Matriarch Aethyta"
2012,Diablo III,"Cydaea , Mistress of Pain"
2012,The Amazing Spider-Man,Whitney Chang
2014,Diablo III : Reaper of Souls,"Cydaea , Mistress of Pain"
2014,Destiny,Tess Everis
