Year,French title,English title,Directed by
1942,Les Visiteurs du Soir,The Night Visitors,Marcel Carné
1943,Le Corbeau,The Raven,Henri-Georges Clouzot
1943,Mermoz,Mermoz,Louis Cuny
1944,Béatrice Devant le Désir,Behold Beatrice,Jean de Marguenat
1945,Les Enfants du Paradis,Children of Paradise,Marcel Carné
1945,Les J3,The J3,Roger Richebé
1946,Le Salaire de la Peur,The Wages of Fear,Henri-Georges Clouzot
1946,La Rose de la Mer,The Sea Rose,Jacques de Baroncelli
1946,La Belle et la Bête,Beauty and the Beast,Jean Cocteau
1946,La Tentation de Barbizon,The Temptation of Barbizon,Jean Stelli
1946,Panique,Panic,Julien Duvivier
1948,Le Diable boiteux,The Lame Devil,Sacha Guitry
