Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Nikolay Raev,Bulgaria,Triple jump,1993,Amphetamine,
Ebrahim Rahimian,Iran,Race walk,2013,"Testosterone , EPO",2 years
Paweł Rakoczy,Poland,Javelin throw,2008,Sibutramine,Public warning
Sara Ramadhani,Tanzania,Cross country running,2014,Isometheptene,2 years
Rashid Ramzi,Bahrain,Middle distance,2008 { Re-analysed in 2009 ),CERA,2 years
Allison Randall,Jamaica,Discus throw,2013,Hydrochlorothiazide,2 years
Kevin Rans,Belgium,Pole vault,2009,Corticosteroids,3 months
Meliz Redif,Turkey,Sprinting,2012,Biological passport,3 years
Dimitrios Regas,Greece,Sprinting,2008,Methyltrienolone,2 years
Julio Rey,Spain,Long distance,1999,Mesterolone,2 years
Butch Reynolds,United States,Sprinting,1990,Anabolic steroids,2 years
Antoine Richard,France,Sprinting,1987,,2 years
Mark Richardson,Great Britain,Sprinting,1999,Nandrolone,18 months ( reduced from 2 years )
Elisa Rigaudo,Italy,Race walking,2002,Caffeine,Public warning
Hristina Risteska,Macedonia,Sprinting,2015,"Stanozolol , methandienone , norandrosterone",4 years
José Rocha,Portugal,Long distance,2010,Biological passport anomalies,2 years
Mike Rodgers,United States,Sprinting,2011,Methylhexaneamine,9 months
Rosa America Rodríguez,Venezuela,Long distance,2010,Nandrolone,2 years
Zudikey Rodríguez,Mexico,Sprinting,2010,Methylhexanamine,6 months
Marielis Rojas,Venezuela,High jump,2011,Norandrosterone,2 years
