Product Name,Vendor,Cost,Software license
Central Desktop,Central Desktop Inc,Not free,Proprietary
Confluence,Atlassian Pty Ltd,"Support From $ 49.00/month to $ 3,990.00/month",Proprietary
Huddle,Huddle,Not free . Pricing depends on package options and number of users,Proprietary
Hyperoffice,HyperOffice,Not free.Various Price Models,Proprietary
Intrexx,United Planet GmbH,Not free,Proprietary
Lotus Domino,IBM,Not free,Proprietary
Jostle Corporation,Jostle,Not free,Proprietary
Liferay,Liferay,Free under LGPL . Must pay for support,LGPL
Microsoft SharePoint Foundation,Microsoft,Free,"Proprietary , Open-API"
Microsoft SharePoint Server,Microsoft,Not free . From $ 90/user or $ 3/mo,"Proprietary , Open-API"
MindQuarry,Mindquarry GmbH,Free . ( open source ),Mozilla Public License
MindTouch,MindTouch,Not free,Proprietary
Plone,Plone Foundation,Free Download . Free/Community and paid support,GPL
OpenAtrium,DevelopmentSeed,Free Download . Free/Community and paid support,GPL
SORCE Intranet,SORCE,Not free,Proprietary
TeamLab,Ascensio System,Online . Free Intranet Server Bundle,GPL
uPortal,Apereo,Free . Free/Community and paid support,Apache 2.0
WebSphere,IBM,Not free,Proprietary
Zoho,ZOHO Corporation,Free for individual . Prices depend on needs of team or group,Proprietary
