Name,Alter Ego ( s ),First Appearance
Ambrose Chase,,Planetary
Anansi,,Astro City
Battalion,Jackson King,
Black Badge,,Astro City
Black Rapier,,Astro City
Blue Knight,,Astro City
Cleopatra,,Astro City
Flint,Victoria Ngengi,
Hoodoo Priest,Parsifal Congo,Top 10
Jack-in-the-Box,Zachary Johnson,Astro City
King Peacock,John Corbeau,Top 10
Micro-Maid,Doctor Sally-Jo Jessell,Top 10
MPH,,Astro City
New American,,The American Way # 1
Promethea,Sophie Bangs,ABC Comics
Rite,,Stormwatch
Stochastic Fats,Willie Beaumont,
Strafe,Malcolm King,
Synaesthesia,Wanda Jackson,
