Rank,Name,Nation,TFP,SP,FS
1,Evgeni Plushenko,Russia,1.5,1,1
2,Timothy Goebel,United States,4.5,5,2
3,Guo Zhengxin,China,4.5,3,3
4,Daniel Bellemare,Canada,5.0,2,4
5,Yosuke Takeuchi,Japan,9.0,6,6
6,Neil Wilson,United Kingdom,10.5,7,7
7,Yamato Tamura,Japan,11.5,13,5
8,Lee Kyu-hyun,South Korea,13.0,10,8
9,Alexei Vasilevski,Russia,14.0,8,10
10,Taijin Hiraike,Japan,14.0,4,12
11,Ivan Dinev,Bulgaria,16.5,11,11
12,Li Chengjiang,China,18.5,19,9
13,Silvio Smalun,Germany,20.5,9,16
14,Lukáš Rakowski,Czech Republic,22.0,18,13
15,Gheorghe Chiper,Romania,23.5,17,15
16,Florian Tuma,Austria,24.0,14,17
17,Roman Martõnenko,Estonia,24.5,21,14
18,Róbert Kažimír,Slovakia,26.0,16,18
19,Ryan Jahnke,United States,26.5,15,19
20,Vitali Danilchenko,Ukraine,27.0,12,21
