Recording or collection,Performer or agent,Year
Yiddish Cylinders from the Standard Phonograph Company of New York and the Thomas Lambert Company,,c.1901-1905
The Memphis Blues,Victor Military Band,1914
Melville Jacobs Collection of Native Americans of the American Northwest,Melville Jacobs,1929-1939
Minnie the Moocher,Cab Calloway,1931
Bach Six Cello Suites,Pablo Casals,c. 1939
They Look Like Men of War,Deep River Boys,1941
Gunsmoke Episode : The Cabin,,"December 27 , 1952"
Complete Recorded Monologues,Ruth Draper,1954-1956
La Bamba,Ritchie Valens,1958
Long Black Veil,Lefty Frizzell,1959
Stan Freberg Presents the United States of America Volume One : The Early Years,Stan Freberg,1961
Go,Dexter Gordon,1962
War Requiem,Benjamin Britten,1963
Mississippi Goddam,Nina Simone,1964
Soul Man,Sam & Dave,1967
Hair Original Broadway cast recording,Original Broadway Cast,1968
Robert F. Kennedy 's speech on the assassination of Martin Luther King Jr,Robert F. Kennedy,"April 4 , 1968"
Sweet Caroline,Neil Diamond,1969
Super Fly,Curtis Mayfield,1972
Ola Belle Reed,Ola Belle Reed,1973
