Category,Season ( s ),,Record
Prize money in CHF ( single season ),2019,Mikaela Shiffrin,"886,386"
Overall points,2013,Tina Maze,2414
Margin of victory,2013,Tina Maze,1313
Avg . points per race ( all participated races ),2012- 2019,Mikaela Shiffrin,59.14
Avg . points per race ( all races in a season ),2013,Tina Maze,69
Avg . points per race ( all participed races ),2019,Mikaela Shiffrin,85
Overall titles,1969 - 1980,Annemarie Moser-Pröll,6
Consecutive overall titles,1971 - 1975,Annemarie Moser-Pröll,5
Discipline titles,2008 - 2016,Lindsey Vonn,16
Discipline titles ( single season ),2010 - 2012 2013 2019,Lindsey Vonn Tina Maze Mikaela Shiffrin,3
Total wins,2005 - 2018,Lindsey Vonn,82
Wins ( single season ),2019,Mikaela Shiffrin,17
Most wins at one venue ( all disciplines ),2005 - 2015,Lindsey Vonn,18
Most wins at one venue ( single discipline ),2005 - 2016,Lindsey Vonn,14
Most wins ( within one calendar year ),2018,Mikaela Shiffrin,15
Consecutive wins ( all disciplines ),1989,Vreni Schneider,10
Consecutive wins ( single discipline ),1989 - 1990 2015 - 2016,Vreni Schneider Mikaela Shiffrin,12
Total podiums,2004 - 2018,Lindsey Vonn,137
Podiums ( single season ),2013,Tina Maze,24
Consecutive podiums ( all disciplines ),1979 - 1980,Marie-Therese Nadig,14
