Pos,No,Driver,Constructor,Time,Gap
1,12,José Froilán González,Ferrari,1:43.4,-
2,2,Juan Manuel Fangio,Alfa Romeo,1:44.4,+ 1.0
3,1,Nino Farina,Alfa Romeo,1:45.0,+ 1.6
4,11,Alberto Ascari,Ferrari,1:45.4,+ 2.0
5,10,Luigi Villoresi,Ferrari,1:45.8,+ 2.4
6,3,Consalvo Sanesi,Alfa Romeo,1:50.2,+ 6.8
7,4,Felice Bonetto,Alfa Romeo,1:52.0,+ 8.6
8,14,Peter Whitehead,Ferrari,1:54.6,+ 11.2
9,22,Louis Rosier,Talbot-Lago - Talbot,1:56.0,+ 12.6
10,8,Bob Gerard,ERA,1:57.0,+ 13.6
11,18,Duncan Hamilton,Talbot-Lago - Talbot,1:57.2,+ 13.8
12,9,Brian Shawe-Taylor,ERA,1:58.2,+ 14.8
13,23,Louis Chiron,Talbot-Lago - Talbot,2:00.2,+ 16.8
14,25,Johnny Claes,Talbot-Lago - Talbot,2:05.8,+ 22.4
15,15,David Murray,Maserati,2:06.0,+ 22.6
16,17,Philip Fotheringham-Parker,Maserati,2:13.2,+ 29.8
17,16,John James,Maserati,2:17.0,+ 33.6
18,5,Joe Kelly,Alta,2:18.4,+ 35.0
19,7,Peter Walker,BRM,No time,-
20,6,Reg Parnell,BRM,No time,-
