Name,Locality,District,Opened,Named after,Transport links
Arús,Fort Pienc,Eixample,1895,"Founder , freethinker and philanthropist Rossend Arús",Arc de Triomf Tetuan
Barceloneta - La Fraternitat,Barceloneta,Ciutat Vella,2001,Former worker cooperative La Fraternitat,Barceloneta
Bon Pastor,Bon Pastor,Sant Andreu,2004,The neighbourhood 's name,Bon Pastor
Camp de l'Arpa - Caterina Albert,Camp de l'Arpa,Sant Martí,,"Writer Caterina Albert , also known as Víctor Català",Camp de l'Arpa
Can Rosés,Les Corts,Les Corts,1993,The 18th century masia where it 's located,Les Corts
Canyelles,Canyelles,Nou Barris,1994,The neighbourhood 's name,Canyelles
Clarà,Sarrià,Sarrià-Sant Gervasi,2000,"The sculptor Josep Clarà , who used it as his atelier",Les Tres Torres
Collserola - Josep Miracle,Vallvidrera,Sarrià-Sant Gervasi,2002,The writer Josep Miracle,Peu de Funicular
El Carmel - Juan Marsé,El Carmel,Horta-Guinardó,2003,The writer Juan Marsé,El Carmel
El Clot - Josep Benet,Glòries - El Clot,Sant Martí,2014,Politician and historian Josep Benet,Glòries
Esquerra de l'Eixample - Agustí Centelles,La Nova Esquerra de l'Eixample,Eixample,2011,The photographer Agustí Centelles,Urgell
Fort Pienc,Fort Pienc,Eixample,2003,A former military citadel called Fort Pienc,Marina
Francesc Candel,La Marina del Prat Vermell,Sants-Montjuïc,2006,Writer and journalist Francesc Candel,Magòria-La Campana
Francesca Bonnemaison,"Sant Pere , Santa Caterina i la Ribera",Ciutat Vella,1909,"Francesca Bonnemaison , founder of the first women 's library in Europe",Urquinaona
Gòtic - Andreu Nin,Barri Gòtic,Ciutat Vella,2011,Murdered Communist revolutionary Andreu Nin,Drassanes
Ignasi Iglésias - Can Fabra,Sant Andreu de Palomar,Sant Andreu,1935,"Writer Ignasi Iglésias , and the former factory Can Fabra",Sant Andreu
Lola Anglada,La Nova Esquerra de l'Eixample,Eixample,,Writer and illustrator Lola Anglada,Entença
Guinardó - Mercè Rodoreda,El Guinardó,Horta-Guinardó,1999,Writer Mercè Rodoreda,Alfons X
Horta - Can Mariner,Horta,Horta-Guinardó,2008,11th century masia Can Mariner,Horta
Jaume Fuster,Vallcarca,Gràcia,2005,Writer and politician Jaume Fuster,Lesseps
