River name,Emptying into,Total length ( in km ),Length in Poland ( in km ),Total basin area ( in km ),Basin area in Poland ( in km )
Vistula,Baltic Sea,1022,1022,"193,690","168,868"
Oder,Baltic Sea,840,726,"119,074","106,043"
Warta,Oder,795,795,"54,520","54,520"
Bug,Narew,774,590,"38,712","19,239"
Narew,Vistula,499,443,"74,527","53,846"
San,Vistula,458,457,"16,877","14,426"
Noteć,Warta,391,391,"17,302","17,302"
Wieprz,Vistula,349,349,"10,497","10,497"
Pilica,Vistula,333,333,"9,258","9,258"
Bóbr,Oder,279,276,"5,874","5,830"
Łyna,Pregolya,264,207,"7,126","5,298"
Wkra,Narew,255,255,"5,348","5,348"
Dunajec,Vistula,249,249,"6,796","4,838"
Nysa Łużycka,Oder,246,197,"4,403","2,201"
Brda,Vistula,245,245,"4,665","4,665"
Drwęca,Vistula,231,231,"5,697","5,697"
Prosna,Warta,227,227,"4,917","4,917"
Wisłok,San,220,220,"3,538","3,538"
Wda ( Czarna Woda ),Vistula,198,198,"2,325","2,325"
Drawa,Noteć,192,192,"3,291","3,291"
