Name,Currency,GDP ( PPP ) per capita ( 2008 est . in U.S. dollars )
Argentina,Argentine peso,"14,200"
Bolivia,Boliviano,"4,500"
Brazil,Brazilian real,"10,100"
Chile,Chilean peso,"14,900"
Colombia,Colombian peso,"8,900"
Ecuador,United States dollar,"7,500"
Falkland Islands ( UK ),Falkland Islands pound,"35,400 ( 2002 est . )"
French Guiana ( France ),Euro,"6,000 ( 2001 est . )"
Guyana,Guyanese dollar,"3,900"
Paraguay,Paraguayan guaraní,"4,200"
Peru,Peruvian nuevo sol,"8,400"
Suriname,Surinamese dollar,"8,900"
Uruguay,Uruguayan peso,"12,200"
Venezuela,Venezuelan bolívar,"13,500"
