Rank,Name,Headquarters,Primary industry,Market value ( USD million )
1,General Electric,United States,Conglomerate,"382,233"
2,Exxon Mobil,United States,Oil and gas,"380,567"
3,Microsoft,United States,Software industry,"262,975"
4,Citigroup,United States,Banking,"234,437"
5,BP,United Kingdom,Oil and gas,"221,365"
6,Wal-Mart,United States,Retail,"212,209"
7,Royal Dutch Shell,The Netherlands,Oil and gas,"210,630"
8,Johnson & Johnson,United States,Health care,"199,711"
9,Pfizer,United States,Health care,"195,945"
10,Bank of America,United States,Banking,"178,765"
