Year,Title,Role
2003,Law & Order : Criminal Intent ( TV series ),Derwin Cooper
2000,It Had to Be You,Police Sergeant
1993 - 1996,Law & Order ( TV series ),"Det . Scapelli , Fred Field , Henninger"
1989,Dream Street ( TV series ),Frank
1988,Me and Him,Stu Gazzo
1986 - 1988,Spenser : For Hire ( TV series ),Murray Peltzer / Nash Bodine
1985,Silver Bullet,Milt Sturmfuller
1983,All the Right Moves,Bosko
1981,Knightriders,Lester Dean
1980,Death Penalty ( TV movie ),Murray Peltzer / Nash Bodine
1978,Dawn of the Dead,Wooley
