Name of Town,State,Type,Population ( 2011 )
Macherla,Andhra Pradesh,M,"49,221"
Maddur,Karnataka,T.M.C,"26,521"
Madhepura,Bihar,M,"45,031"
Madhubani,Bihar,M,"66,340"
Madhugiri,Karnataka,T.M.C,"26,304"
Madhupur,Jharkhand,M,"47,326"
Madikeri,Karnataka,T.M.C,"32,496"
Magadi,Karnataka,T.M.C,"25,031"
Mahad,Maharashtra,M.Cl,"24,276"
Mahalingapura,Karnataka,T.M.C,"30,858"
Maharajganj,Bihar,N.A,"20,860"
Maharajpur,Madhya Pradesh,NP,"21,490"
Mahasamund,Chhattisgarh,M,"85,650"
Mahe,Puducherry,M,"36,828"
Manendragarh,Chhattisgarh,M,"30,758"
Mahendragarh,Haryana,M.C,"24,323"
Mahnar Bazar,Bihar,M,"37,370"
Mahua Dabra Haripura,Uttarakhand,N.P,"7,326"
Mahua Kheraganj,Uttarakhand,N.P,"12,584"
Maihar,Madhya Pradesh,M,"34,342"
