,Name on the Register,Date listed,Location,City or town
1,Brooks Round Barn,"June 30 , 1986 ( # 86001429 )",West of U.S. Route 218 42°57′00″N 92°35′04″W / 42.95°N 92.584444°W / 42.95 ; -92.584444 ( Brooks Round Barn ),Nashua
2,Central Park-North Main Street Historic District,"August 10 , 1976 ( # 76000771 )",N. Main St. and N. Jackson St. 43°04′06″N 92°40′43″W / 43.068333°N 92.678611°W / 43.068333 ; -92.678611 ( Central Park-North Main Street Historic District ),Charles City
3,Charles City Junior-Senior High School,"September 5 , 2017 ( # 100001567 )",500 N. Grand Ave. 43°04′05″N 92°40′20″W / 43.067933°N 92.672092°W / 43.067933 ; -92.672092 ( Charles City Junior-Senior High School ),Charles City
4,Cook Farm,"June 18 , 1979 ( # 79000895 )",South of Charles City on U.S. Route 218 43°01′51″N 92°38′41″W / 43.030833°N 92.644722°W / 43.030833 ; -92.644722 ( Cook Farm ),Charles City
5,A.B.C . Dodd House,"May 22 , 1978 ( # 78001220 )",310 3rd Ave. 43°03′55″N 92°40′06″W / 43.065278°N 92.668333°W / 43.065278 ; -92.668333 ( A.B.C . Dodd House ),Charles City
6,"Dr. Salsbury 's Laboratories , Main Office and Production Laboratory Building","March 7 , 1996 ( # 96000235 )","500 Gilbert St. 43°03′47″N 92°40′44″W / 43.063056°N 92.678889°W / 43.063056 ; -92.678889 ( Dr. Salsbury 's Laboratories , Main Office and Production Laboratory Building )",Charles City
7,Floyd County Court House,"August 28 , 2003 ( # 03000816 )",101 S. Main St. 43°03′56″N 92°40′54″W / 43.065556°N 92.681667°W / 43.065556 ; -92.681667 ( Floyd County Court House ),Charles City
8,Charles Walter Hart House,"January 25 , 1980 ( # 80001450 )",800 3rd Ave. 43°03′55″N 92°39′38″W / 43.065278°N 92.660556°W / 43.065278 ; -92.660556 ( Charles Walter Hart House ),Charles City
9,Hawkeye Street Underpass,"June 25 , 1998 ( # 98000777 )",South Hawkeye St. under the railroad line 43°08′14″N 93°00′34″W / 43.137222°N 93.009306°W / 43.137222 ; -93.009306 ( Hawkeye Street Underpass ),Nora Springs
10,Lucius and Maria Clinton Lane House,"April 24 , 1995 ( # 95000384 )",2379 Timber Ave. 43°00′45″N 92°39′15″W / 43.0125°N 92.654167°W / 43.0125 ; -92.654167 ( Lucius and Maria Clinton Lane House ),Charles City
11,Main Street Bridge,"March 12 , 1999 ( # 99000311 )",Main St. over the Cedar River 43°03′58″N 92°40′48″W / 43.066111°N 92.68°W / 43.066111 ; -92.68 ( Main Street Bridge ),Charles City
12,Marble Rock Bank,"November 10 , 1982 ( # 82000407 )",313 Bradford St. 42°57′55″N 92°52′04″W / 42.965278°N 92.867778°W / 42.965278 ; -92.867778 ( Marble Rock Bank ),Marble Rock
13,Alvin Miller House,"November 16 , 1978 ( # 78001221 )",1107 Court St. 43°04′05″N 92°41′04″W / 43.068056°N 92.684444°W / 43.068056 ; -92.684444 ( Alvin Miller House ),Charles City
14,Charles Henry Parr House,"January 24 , 1980 ( # 80001451 )",100 W. Hulin St. 43°04′23″N 92°40′56″W / 43.073056°N 92.682222°W / 43.073056 ; -92.682222 ( Charles Henry Parr House ),Charles City
15,River Street Bridge,"June 25 , 1998 ( # 98000778 )",River St. over a drainage ditch 42°58′00″N 92°52′10″W / 42.966667°N 92.869306°W / 42.966667 ; -92.869306 ( River Street Bridge ),Marble Rock
16,Rockford Mill,"July 28 , 1983 ( # 83000358 )",Shell Rock River at 4th and Main St. 43°03′02″N 92°56′31″W / 43.050556°N 92.941944°W / 43.050556 ; -92.941944 ( Rockford Mill ),Rockford
17,Sherman Nursery Company Historic District,"November 12 , 2014 ( # 14000905 )",1300 Grove st. 43°03′54″N 92°41′21″W / 43.065°N 92.689167°W / 43.065 ; -92.689167 ( Sherman Nursery Company Historic District ),Charles City
18,Spotts Round Barn,"June 30 , 1986 ( # 86001430 )",Iowa Highway 14 43°03′33″N 92°43′29″W / 43.059056°N 92.724694°W / 43.059056 ; -92.724694 ( Spotts Round Barn ),Charles City
19,Tyden Farm No . 6 Farmstead Historic District,"June 11 , 2009 ( # 09000401 )",1145 300th St. 42°55′23″N 92°59′48″W / 42.923056°N 92.996667°W / 42.923056 ; -92.996667 ( Tyden Farm No . 6 Farmstead Historic District ),Dougherty
20,Wildwood Park Historic District,"September 25 , 1998 ( # 98001205 )",1 Wildwood Rd . 43°03′46″N 92°41′37″W / 43.062778°N 92.693611°W / 43.062778 ; -92.693611 ( Wildwood Park Historic District ),Charles City
