Rank,Combined or Metropolitan Statistical Area,State ( s ),Population ( 2016 )
1,Seattle - Tacoma,Washington,"4,684,516"
2,Portland - Vancouver - Salem,Oregon Washington,"3,160,488"
3,Boise - Mountain Home - Ontario,Idaho Oregon,"770,906"
4,Spokane - Spokane Valley - Coeur d'Alene,Washington Idaho,"710,945"
5,Eugene,Oregon,"369,519"
6,Medford - Grants Pass,Oregon,"302,431"
7,Kennewick - Pasco - Richland,Washington,"283,846"
8,Yakima,Washington,"249,636"
9,Idaho Falls - Rexburg - Blackfoot,Idaho,"239,764"
10,Bellingham,Washington,"216,800"
11,Bend - Redmond - Prineville,Oregon,"203,877"
12,Billings,Montana,"169,728"
13,Wenatchee,Washington,"117,665"
14,Missoula,Montana,"116,130"
15,Moses Lake - Othello,Washington,"112,784"
16,Roseburg,Oregon,"108,457"
17,Twin Falls,Idaho,"106,508"
18,Bozeman,Montana,"104,502"
