Rank,Player,Team ( s ) by season,Carries,Yards,Average
1,Emmitt Smith,Dallas Cowboys ( 1990 - 2002 ) Arizona Cardinals ( 2003 - 2004 ),"4,409","18,355",4.2
2,Walter Payton,Chicago Bears ( 1975 - 1987 ),"3,838","16,726",4.4
3,Frank Gore,San Francisco 49ers ( 2005 - 2014 ) Indianapolis Colts ( 2015 - 2017 ) Miami Dolphins ( 2018 ) Buffalo Bills ( 2019 -present ),"3,548","15,347",4.3
4,Barry Sanders,Detroit Lions ( 1989 - 1998 ),"3,062","15,269",5.0
5,Adrian Peterson,Minnesota Vikings ( 2007 - 2016 ) New Orleans Saints ( 2017 ) Arizona Cardinals ( 2017 ) Washington Redskins ( 2018 -present ),"3,036","14,216",4.7
6,Curtis Martin,New England Patriots ( 1995 - 1997 ) New York Jets ( 1998 - 2005 ),"3,518","14,101",4.0
7,LaDainian Tomlinson,San Diego Chargers ( 2001 - 2009 ) New York Jets ( 2010 - 2011 ),"3,174","13,684",4.3
8,Jerome Bettis,St. Louis/L.A . Rams ( 1993 - 1995 ) Pittsburgh Steelers ( 1996 - 2005 ),"3,479","13,662",3.9
9,Eric Dickerson,Los Angeles Rams ( 1983 - 1987 ) Indianapolis Colts ( 1987 - 1991 ) Los Angeles Raiders ( 1992 ) Atlanta Falcons ( 1993 ),"2,996","13,259",4.4
10,Tony Dorsett,Dallas Cowboys ( 1977 - 1987 ) Denver Broncos ( 1988 ),"2,936","12,739",4.3
11,Jim Brown,Cleveland Browns ( 1957 - 1965 ),"2,359","12,312",5.2
12,Marshall Faulk,Indianapolis Colts ( 1994 - 1998 ) St. Louis Rams ( 1999 - 2005 ),"2,836","12,279",4.3
13,Edgerrin James,Indianapolis Colts ( 1999 - 2005 ) Arizona Cardinals ( 2006 - 2008 ) Seattle Seahawks ( 2009 ),"3,028","12,246",4.0
14,Marcus Allen,Los Angeles Raiders ( 1982 - 1992 ) Kansas City Chiefs ( 1993 - 1997 ),"3,022","12,243",4.1
15,Franco Harris,Pittsburgh Steelers ( 1972 - 1983 ) Seattle Seahawks ( 1984 ),"2,949","12,120",4.1
16,Thurman Thomas,Buffalo Bills ( 1988 - 1999 ) Miami Dolphins ( 2000 ),"2,877","12,074",4.2
17,Fred Taylor,Jacksonville Jaguars ( 1998 - 2008 ) New England Patriots ( 2009 - 2010 ),"2,534","11,695",4.6
18,Steven Jackson,St. Louis Rams ( 2004 - 2012 ) Atlanta Falcons ( 2013 - 2014 ) New England Patriots ( 2015 ),"2,764","11,438",4.1
19,John Riggins,New York Jets ( 1971 - 1975 ) Washington Redskins ( 1976 - 1985 ),"2,916","11,352",3.9
20,Corey Dillon,Cincinnati Bengals ( 1997 - 2003 ) New England Patriots ( 2004 - 2006 ),"2,618","11,241",4.3
