Delegation,Mission type,District,Mission website
Abkhazia,Embassy,Tverskoy,link
Afghanistan,Embassy,Presnensky,-
Albania,Embassy,Yakimanka,-
Algeria,Embassy,Tverskoy,link
Angola,Embassy,Ramenki,link
Argentina,Embassy,Yakimanka,-
Armenia,Embassy,Basmanny,link
Australia,Embassy,Tagansky,link
Austria,Embassy,Khamovniki,link
Azerbaijan,Embassy,Presnensky,link
Bahrain,Embassy,Yakimanka,-
Bangladesh,Embassy,Khamovniki,link
Belarus,Embassy,Basmanny,link
Belgium,Embassy,Arbat,link
Benin,Embassy,Tverskoy,-
Bolivia,Embassy,Danilovsky,link
Bosnia and Herzegovina,Embassy,Ramenki,-
Brazil,Embassy,Presnensky,link
Brunei,Embassy,Dorogomilovo,-
Bulgaria,Embassy,Ramenki,link
