Rank,Album,Year released,Artist ( s ),Peak and duration
1,21,2011,Adele,# 1 for 24 weeks
2,The Sound of Music,1965,Soundtrack,# 1 for 2 weeks
3,Thriller,1983,Michael Jackson,# 1 for 37 weeks
4,Fearless,2008,Taylor Swift,# 1 for 11 weeks
5,Born in the U.S.A,1984,Bruce Springsteen,# 1 for 7 weeks
6,Ropin ' the Wind,1991,Garth Brooks,# 1 for 18 weeks
7,Jagged Little Pill,1995,Alanis Morissette,# 1 for 12 weeks
8,Doctor Zhivago,1966,Soundtrack,# 1 for 1 week
9,All the Right Reasons,2005,Nickelback,# 1 for 1 week
10,Tapestry,1971,Carole King,# 1 for 15 weeks
