Team,Coach,Captain,Kit manufacturer,Shirt sponsor
ATM,Zahid Hashim,Fatrurazi Rozi,Kappa,
Johor,Azmi Mohamed,Mohd Affandy Adimel,Joma,Kulim Berhad
Harimau Muda B,Ismail Ibrahim,Mohd Syafiq Shalihin Mohd Noor,Nike,
Sime Darby,Ismail Zakaria,Mohd Nor Ismail,,Sime Darby
MP Muar,Jacob Joseph,Zainurin Abdul Kadir,Kronos,Interpacific
PDRM,K. Thaiyanathan,Mohd Saiful Rusly,,
PKNS,Abdul Rahman Ibrahim,Mohd Fadhil Mohd Hashim,Kappa,PKNS
Pos Malaysia,Mat Zan Mat Aris,Manopsak Kram,Kika,Pos Malaysia
Penang,Ahmad Yusof,Megat Amir Faisal Al Khalidi Ibrahim,Eutag,
Sarawak,Robert Alberts,Zamri Morshidi,StarSport,Naim Homes
SDMS Kepala Batas,Mohammad Adam Abdullah,Shahrulnizam Mohd,,
USM,S. Veloo,Mohd Fariss Azlan Mat Isa,Joma,USM & Asmana
