Actor,Character,Duration
Zane Achor,Will Spencer,2013-18
Marla Adams,Beth Logan,1991
Luigi Amodeo,Lorenzo Barelli,2002-03
Justin Baldoni,Graham Darros,2010
Judith Baldwin,Beth Logan,1987
Texas Battle,Marcus Forrester,2008-13
Kabir Bedi,Prince Omar Rashid,"1994-95 , 2005"
Brandon Beemer,Owen Knight Casper Knight,2008-12 2009
Drew Tyler Bell,Thomas Forrester,2004-10
Paulo Benedeti,Antonio Dominguez,"2001-02 , 2012-13 , 2017"
Wayne Brady,Reese Buckingham,2018-19
Tracey E. Bregman,Lauren Fenmore Baldwin,"1992-99 , 2002 , 2004 , 2007"
Ashleigh Brewer,Ivy Forrester,2014-18
Peter Brown,Blake Hayes,1991-92
Sarah Joy Brown,Agnes Jones,2009-11
Agnes Bruckner,Bridget Forrester,1997-99
Sabrina Bryan,Alisa Cordova,2002
Ian Buchanan,Dr. James Warwick,"1993-99 , 2004 , 2007-11 , 2017"
Nancy Burnett,Beth Logan,"1987-89 , 1994 , 1996-98 , 2000-01"
Sarah G. Buxton,Morgan DeWitt,"2000-01 , 2005"
