Time,Swimmer,Date,Place
3:38.2,E. Van Den Bogaert,"August 7 , 1921","Antwerp , Belgium"
3:34.6,E. Van Den Bogaert,"May 6 , 1922","Brussels , Belgium"
3:31.4,E. Van Den Bogaert,"October 4 , 1922","Antwerp , Belgium"
3:20.4,Irene Gilbert,"June 18 , 1923","Rotherham , United Kingdom"
3:20.2,Erna Murray,"April 5 , 1925","Leipzig , Germany"
3:19.1,Brita Hazelius,"August 11 , 1926","Stockholm , Sweden"
3:18.4,Mietje Baron,"October 24 , 1926","Brussels , Belgium"
3:16.6,Else Jacobsen,"August 20 , 1927","Oslo , Norway"
3:15.8,Charlotte Mühe,"April 15 , 1928","Magdeburg , Germany"
3:11.2,Mietje Baron,"April 22 , 1928","Rotterdam , Netherlands"
3:11.2 =,Charlotte Mühe,"July 15 , 1928","Berlin , Germany"
3:10.6,Margery Hinton,"July 20 , 1931","Manchester , United Kingdom"
3:08.4,Clare Dennis,"January 18 , 1932","Sydney , Australia"
3:08.2,Lisa Rocke,"April 21 , 1932","Leipzig , Germany"
3:03.4,Else Jacobsen,"May 11 , 1932","Stockholm , Sweden"
3:00.4,Hideko Maehata,"September 30 , 1933","Tokyo , Japan"
3:00.2,Jopie Waalberg,"May 11 , 1937","Amsterdam , Netherlands"
2:58.0,Jopie Waalberg,"June 27 , 1937","Zaandijk , Netherlands"
2:56.9,Jopie Waalberg,"October 2 , 1937","Ghent , Belgium"
2:56.0,Maria Lenk,"November 8 , 1939","Rio de Janeiro , Brazil"
