Constituency,Candidate,Votes,%,Position
Aberdare,Trefor Beasley,"3,703",9.4,3
Abertillery,Trefor Richard Morgan,"1,259",4.1,3
Anglesey,J. Rowland Jones,"2,183",7.5,3
Caernarvon,Robert E. Jones,"5,815",16.5,3
Carmarthen,Jennie Eirian Davies,"3,835",7.8,3
Conway,Ioan Bowen Rees,"3,019",7.8,3
Gower,Chris Rees,"4,101",10.6,3
Llanelly,David Eirwyn Morgan,"6,398",12.5,3
Merioneth,Gwynfor Evans,"5,243",22.2,3
Rhondda East,Noel Williams,"2,776",8.8,4
Rhondda West,Glyn James,"4,424",15.3,2
Wrexham,Elystan Morgan,"5,139",10.4,3
