Year,Country,Title,Director,Events depicted
1981,Hong Kong,The Story of Woo Viet,Ann Hui,"The story features Woo Viet , who wants to leave his country , Vietnam , behind and start over in the United States"
1982,Hong Kong,Boat People,Ann Hui,The Fall of Saigon and its aftermath
1984,UK,The Killing Fields ( film ),Roland Joffé,"The Killing Fields is a 1984 British biographical drama film about the Khmer Rouge regime in Cambodia , which is based on the experiences of two journalists : Cambodian Dith Pran and American Sydney Schanberg"
1992,Australia,Turtle Beach ( film ),Stephen Wallace,"Judith , an Australian photojournalist ( Greta Scacchi ) , leaves her family to cover the story of Vietnamese boat people in a Malaysian refugee camp . There she befriends Minou , a Vietnamese streetwalker ( Joan Chen ) , who has married a diplomat and together they try to bring awareness to the terrible conditions suffered by the people there"
2001,US,Green Dragon,Timothy Linh Bui,The experiences of Vietnamese refugees in the United States immediately following the end of the war
2004,US,The Beautiful Country,Hans Petter Moland,"A Vietnamese boy ( Damien Nguyen ) goes to the US to search for his father , an American ex-soldier"
2005,Vietnam,Sống trong sợ hãi ( Living in Fear ),Bùi Thạc Chuyên,"A Vietnamese farmer is supporting two families after the end of the war - one in the north , which he abandoned after fleeing during the war , and his new family in the south . To get enough money he sets on to re-cultivate a field full of mines . His life and psyche is changing while he removes each mine by himself"
2007,US,Journey from the Fall,Ham Tran,Vietnamese experience of post-war re-education camps and life as refugees
2014,"France , Belgium , Cambodia",The Gate ( 2014 film ),Régis Wargnier,"The Gate ( French : Le Temps des aveux ) is a 2014 French-Belgian-Cambodian drama film directed by Régis Wargnier , based on the books by François Bizot"
2017,"Cambodia , US",First They Killed My Father ( film ),Angelina Jolie,"First They Killed My Father ( Khmer : មុនដំបូងខ្មែរក្រហមសម្លាប់ប៉ារបស់ខ្ញុំ Moun dambaung Khmer Krahm samleab ba robsa khnhom ) is a 2017 Cambodian-American Khmer biographical historical thriller film directed by Angelina Jolie and written by Jolie and Loung Ung , based on Ung 's memoir of the same name . Set in 1975 , the film depicts 7-year-old Ung who is forced to be trained as a child soldier while her siblings are sent to labor camps during the Communist Khmer Rouge regime"
