Year,Time,Athlete,Place
1970,12.93,Chi Cheng ( ROC ),Munich
1971,12.60,Karin Balzer ( GDR ),East Berlin
1972,12.59,Anneliese Ehrhardt ( GDR ),Munich
1973,12.68,Anneliese Ehrhardt ( GDR ),Dresden
1974,12.66,Anneliese Ehrhardt ( GDR ),Rome
1975,12.91,Bożena Świerczyńska ( POL ),Zielona Góra
1976,12.69,Grazyna Rabsztyn ( POL ),Bydgoszcz
1977,12.87,Lyubov Kononova ( URS ),Düsseldorf
1978,12.48,Grazyna Rabsztyn ( POL ),Fürth
1979,12.48,Grazyna Rabsztyn ( POL ),Warsaw
1980,12.36,Grazyna Rabsztyn ( POL ),Warsaw
1981,12.68,Tatyana Anisimova ( URS ),Tbilisi
1982,12.44,Yordanka Donkova ( BUL ),Sofia
1983,12.42,Bettine Jahn ( GDR ),Berlin
1984,12.43,Lucyna Kalek ( POL ),Hannover
1985,12.42,Ginka Zagorcheva ( BUL ),Sofia
1986,12.26,Yordanka Donkova ( BUL ),Ljubljana
1987,12.25,Ginka Zagorcheva ( BUL ),Dráma
1988,12.21,Yordanka Donkova ( BUL ),Stara Zagora
1989,12.60,Cornelia Oschkenat ( GDR ),Barcelona
