Name,Year/Degree,Notability
Saint Pedro Jose Almato Ribera Auras,( no year indicated ),One of the martyrs of Vietnam
Saint Guillaume Courtet,( no year indicated ),"Professor of theology , French Dominican priest , one of the martyrs of Japan"
Saint Domingo Ibáñez de Erquicia,1621-1625,"Professor of theology , Spanish Dominican priest , one of the martyrs of Japan"
Saint Vicente Liem de la Paz,B.Phil . 1753 B.Th . 1758,"Vietnamese Dominican friar , one of the martyrs of Vietnam"
Saint Tomás Hioji de San Jacinto,B.Phil,"A Kirishitan , one of the martyrs of Japan"
Alfredo Obviar,"Theological Studies , 1919","Servant of God , whose cause of sainthood is being promoted . He has been the Auxiliary Bishop of the Archdiocese of Lipa from 1944-1951 and Apostolic Administrator and 1st Bishop of the Diocese of Lucena from 1951 to 1976"
Saint Lucas del Espiritu Santo,( no year indicated ),"Lecturer of arts , Spanish Dominican priest , one of the martyrs of Japan"
Saint José Ma . Diaz Sanjurjo,( no year indicated ),"Professor of theology , one of the martyrs of Vietnam"
Blessed Maximino Fernandez Marinas,"B.Phil . , B.Th . 1888",One of the martyrs of religious persecution in Spain during the Spanish Civil War
Blessed Buenaventura García de Paredes,B.Th,"Professor of theology and civil law , Master General of the Dominican Order 1926-1929 , one of the martyrs of religious persecution in Spain during the Spanish Civil War"
Saint Antonio Gonzalez,( no year indicated ),"Professor of Theology , acting Rector Magnificus ca . 1630 , one of the martyrs of Japan"
Saint Domingo Henares,( no year indicated ),Professor of humanities ; known for his contribution to the knowledge in fields of science in Vietnam ; one of the martyrs of Vietnam
Blessed José Ma . Lopez Carillo,B.Th . 1919,One of the martyrs of religious persecution in Spain during the Spanish Civil War
Blessed Pedro Ibáñez Alonso,B.Th . 1915,One of the martyrs of religious persecution in Spain during the Spanish Civil War
Blessed Manuel Moreno Martinez,J.C.B,One of the martyrs of religious persecution in Spain during the Spanish Civil War
Blessed Jesus Villaverde Andres,Th.D . 1919,"Professor of dogmatic theology and canon law , Secretary General 1919-1921 , Treasurer 1929-1932 , Dean of the Faculty of Sacred Theology 1932-1934 , one of the martyrs of religious persecution in Spain during the Spanish Civil War"
