Beacon,Island,Municipality,Comments
Ikema tōmi 池間遠見,Ikema Island,Miyakojima,located on a small hill at the southern tip of the island
Karimata tōmi 狩俣遠見,Miyakojima Island,Miyakojima,on a hill behind Karimata
Shimajiri tōmi 島尻遠見,Miyakojima Island,Miyakojima,on a hill in northeast Shimajiri
Sunagawa tōmi 砂川遠見,Miyakojima Island,Miyakojima,at the south end of Hiokuyama in Sunagawa
Kurima tōmi 来間遠見,Kurima Island,Miyakojima,three-metre tower of Ryūkyū limestone ( 琉球石灰岩 ) reinforced by the Japanese army during the Pacific War
Miyako tōmi 宮古遠見,Tarama Island,Tarama,
Yaeyama tōmi 八重山遠見,Tarama Island,Tarama,
Minna tōmi 水納遠見,Minna Island,Tarama,
Hirakubo tōmi-dai 平久保遠見台,Ishigaki Island,Ishigaki,just to the south of Cape Hirakubo on the Hirakubo Peninsula ( 平久保半島 )
Kabira hibanmui 川平火番盛,Ishigaki Island,Ishigaki,near the Kabira Shell Mound ( Historic Site ) to the northwest of Kabira Bay
Kogukusu mui 小城盛 ( クスクムイ ),Taketomi Island,Taketomi,also known as Kusuku mui
Puzumari プズマリ,Kuroshima Island,Taketomi,
Takaniku タカニク,Aragusku Islands ( Kamiji ),Taketomi,
Nakamori 中森 ( 波照間ムリ ),Aragusku Islands ( Shimoji ),Taketomi,also known as Hateruma muri
Kōto mui コート盛,Hateruma Island,Taketomi,
Ufu-daki 大岳,Kohamajima Island,Taketomi,the hill rises to 99 m above sea level and is a Municipal Place of Scenic Beauty
Nakamori 中森,Hatoma Island,Taketomi,the small forest is a Municipal Natural Monument
Datiguchidi ダティグチディ,Yonaguni Island,Yonaguni,near Cape Agarizaki ( 東崎 ) at the eastern end of the island
