Rank,Name,Net worth ( USD ),Citizenship,Sources of wealth
1,Ma Huateng,40.5 billion,China,internet media
2,Jack Ma,37.2 billion,China,e-commerce
3,Xu Jiayin,36.2 billion,China,real estate
4,Wang Jianlin,22.6 billion,China,real estate
5,Yang Huiyan,22.1 billion,China,real estate
6,He Xiangjian,19.8 billion,China,home appliances
7,Zhang Yiming,16.2 billion,China,internet media
8,William Ding,14.7 billion,China,online games
9,Li Shufu,13.6 billion,China,automobiles
10,Colin Huang,13.5 billion,China,e-commerce
11,Zhang Zhidong,13.3 billion,China,internet media
12,Wang Wei,12.1 billion,China,package delivery
13,Wang Wenyin,11 billion,China,"mining , copper products"
14,Lei Jun,9.6 billion,China,internet company
15,Robin Li,9.6 billion,China,internet search
16,Wu Yajun,9.4 billion,China,real estate
17,Xu Shihui,9.3 billion,China,"snacks , beverages"
18,Pang Kang,8.9 billion,China,agribusiness
19,Sun Piaoyang,8.4 billion,China,pharmaceuticals
20,Zong Qinghou,8.4 billion,China,beverages
