2010,2009,2008,University,Country
01,01,01,Harvard University,US
02,02,02,Johns Hopkins University,US
03,03,03,University of California- San Francisco,US
04,06,06,University of California- San Diego,US
05,04,04,Stanford University,US
06,08,11,Massachusetts Institute of Technology,US
07,12,12,University of Oxford,United Kingdom
08,09,07,University of Washington- Seattle,US
09,07,05,Yale University,US
10,10,10,University College London,United Kingdom
11,05,08,University of Pennsylvania,US
12,11,9,University of California- Los Angeles,US
13,13,13,University of Cambridge,United Kingdom
14,18,18,University of Michigan- Ann Arbor,US
15,16,15,Washington University in St. Louis,US
16,14,16,University of Toronto,Canada
17,17,17,The University of Tokyo,Japan
18,15,14,Columbia University,US
19,19,19,Duke University,US
20,27,35,Imperial College London,United Kingdom
