Medal,Name,Sport,Event
Silver,Helga Klein Ursula Knab Marga Petersen Maria Sander,Athletics,Women 's 4 × 100 m Relay
Silver,Karl Storch,Athletics,Men 's Hammer Throw
Silver,Marianne Werner,Athletics,Women 's Shot Put
Silver,Edgar Basel,Boxing,Men 's Flyweight
Silver,Otto Rothe Klaus Wagner Willi Büsing,Equestrian,Team Eventing
Silver,Alfred Schwarzmann,Gymnastics,Men 's Horizontal Bar
Silver,Heinz Manchen Helmut Heinhold Helmut Noll,Rowing,Men 's Coxed Pairs
Bronze,Heinz Ulzheimer,Athletics,Men 's 800m
Bronze,Maria Sander,Athletics,Women 's 80m Hurdles
Bronze,Herbert Schade,Athletics,Men 's 5000m
Bronze,Günter Steines Hans Geister Heinz Ulzheimer Karl-Friedrich Haas,Athletics,Men 's 4 × 400 m Relay
Bronze,Werner Lueg,Athletics,Men 's 1500m
Bronze,Günther Heidemann,Boxing,Men 's Welterweight
Bronze,Michael Scheuer,Canoeing,Men 's K-1 10000m
Bronze,Egon Drews Wilfried Soltau,Canoeing,Men 's C-2 1000m
Bronze,Egon Drews Wilfried Soltau,Canoeing,Men 's C-2 10000m
Bronze,Edi Ziegler,Cycling,Men 's Road Race
Bronze,Werner Potzernheim,Cycling,Men 's Sprint
Bronze,Günther Haase,Diving,Men 's 10m Platform
Bronze,Heinz Pollay Ida von Nagel Fritz Thiedemann,Equestrian,Team Dressage
