Rank,Title,Studio,Box office gross rental
1,Sunny Side Up,Fox Film Corporation,"$ 3,300,000"
2,The Broadway Melody,Metro-Goldwyn-Mayer,"$ 2,800,000"
3,The Cock-Eyed World,Fox Film Corporation,"$ 2,600,000"
4,Gold Diggers of Broadway,Warner Bros,"$ 2,540,000"
5,Welcome Danger,Paramount Pictures,"$ 2,100,000"
6,On with the Show !,Warner Bros,"$ 1,741,000"
7,Say It with Songs,Warner Bros,"$ 1,715,000"
8,Rio Rita,RKO Radio Pictures,"$ 1,700,000"
9,The Desert Song,Warner Bros,"$ 1,594,000"
10,The Hollywood Revue of 1929,Metro-Goldwyn-Mayer,"$ 1,500,000"
