Name,Dia,Name Origin
Dorsa Aldrovandi,136 km,Ulissi Aldrovandi ( 1522-1605 )
Dorsa Andrusov,160 km,Nicolai Ivanovich Andrusov ( 1861-1924 )
Dorsa Argand,109 km,Emile Argand ( 1879-1940 )
Dorsa Barlow,120 km,William Barlow ( 1845-1934 )
Dorsa Burnet,194 km,Thomas Burnet ( 1635-1715 )
Dorsa Cato,140 km,Cato the Elder ( 234-149 B.C . )
Dorsa Dana,70 km,James Dwight Dana ( 1813-1895 )
Dorsa Ewing,141 km,William Maurice Ewing ( 1906-1974 )
Dorsa Geikie,228 km,Sir Archibald Geikie ( 1835-1924 )
Dorsa Harker,197 km,Alfred Harker ( 1859-1939 )
Dorsa Lister,203 km,Martin Lister ( 1639-1712 )
Dorsa Mawson,132 km,Douglas Mawson ( 1882-1958 )
Dorsa Rubey,100 km,William Walden Rubey ( 1898-1974 )
Dorsa Smirnov,156 km,Sergei Sergeevich Smirnov ( 1895-1947 )
Dorsa Sorby,80 km,Henry Clifton Sorby ( 1826-1908 )
Dorsa Stille,80 km,Hans Stille ( 1876-1966 )
Dorsa Tetyaev,176 km,Mikhail Mikhailovich Tetyaev ( 1882-1956 )
Dorsa Whiston,85 km,William Whiston ( 1667-1752 )
