Name,Position,Province
Jack O'Brien,Fullback,Auckland
Eric Cockroft,"Fullback , Wing Three-quarter",South Canterbury
Tom Lynch,Wing Three-quarter,South Canterbury
Henry Morgan Taylor,"Wing Three-quarter , Halfback",Canterbury
George Loveridge,Utility back,Taranaki
Dick Roberts,Wing Three-quarter,Taranaki
James Ryan,Centre three-quarter,Wellington
Lyn Weston,Fly-half,Auckland
Bobby Black,Fly-half,Otago
Jock McKenzie,Fly-half,"Wellington , Auckland"
Edward Roberts,Halfback,Wellington
James Barrett,Loose forward,Auckland
Alex Bruce,Loose Forward,Auckland
Tom Fisher,Loose Forward,Buller
James Graham,Loose forward,Otago
Ranji Wilson,Loose forward,Wellington
Toby Murray,Wing-forward,Canterbury
James McNeece,Forward,Southland
Albert Downing,Forward,Auckland
John Irvine,Lock,Otago
