Date,Sport,Venue/Event,Status,Winner/s
1-2,Cyclo-cross,2014 UCI Cyclo-cross World Championships,International,Men 's elite race : Zdeněk Štybar Women 's elite race : Marianne Vos
1-8,Baseball,2014 Caribbean Series,Regional,Naranjeros de Hermosillo
1-15 March,Rugby union,2014 Six Nations Championship,Continental,Ireland
2,American football,Super Bowl XLVIII,Domestic,Seattle Seahawks MVP : Malcolm Smith of the Seattle Seahawks
5-8,Motorsport,62nd Rally Sweden,International,Jari-Matti Latvala ( Volkswagen ) Miikka Anttila
6-8,Synchronized skating,Junior World Challenge Cup,International,Team Fintastic
7-8,Rugby sevens,2014 Wellington Sevens,International,New Zealand
7-23,Multi-sport,2014 Winter Olympics,International,Russia
7-2 November,Association football,2014 CAF Champions League,Continental,ES Sétif
10-16,Tennis,2014 Qatar Total Open,International,Simona Halep
13-15,Ice hockey,2014 IIHF World U18 Championship Division III - Group B,International,South Africa is promoted to Division III - Group A
15-16 November,Motorsport,2014 NASCAR Sprint Cup Series,Domestic,Kevin Harvick ( Stewart-Haas Racing )
15-2 August,Rugby union,2014 Super Rugby season,International,Waratahs
16,Basketball,2014 NBA All-Star Game,Domestic,Eastern Conference ( NBA ) MVP : Kyrie Irving of the Cleveland Cavaliers
19-22,Bandy,VIIth Bandy World Championship for women,International,Russia
19-2 March,Snooker,2014 Welsh Open,International,Ronnie O'Sullivan
21-14 November,Motorsport,2014 NASCAR Camping World Truck Series,Domestic,Matt Crafton ( ThorSport Racing )
22-15 November,Motorsport,2014 NASCAR Nationwide Series,Domestic,Chase Elliott ( JR Motorsports )
23,Marathon,2014 Tokyo Marathon ( WMM ),International,Men : Dickson Chumba Women : Tirfi Tsegaye
23,Motorsport,2014 Daytona 500,Domestic,"Dale Earnhardt , Jr. ( Hendrick Motorsports )"
