Name,Nationality,Position,Akademisk Boldklub career,Appearances,Goals
René Henriksen,Denmark,Defender,1988-1999 2005-2006,339,42
Kenneth Perez,Denmark,Midfielder,1993-1995,36,7
Michael Madsen,Denmark,Defender,1996-1998,46,6
Peter Løvenkrands,Denmark,Midfielder,1998-2000,32,7
Tommy Løvenkrands,Denmark,Midfielder,1998-2000,32,3
Brian Steen Nielsen,Denmark,Midfielder,1998-2001,84,10
Nicolai Stokholm,Denmark,Midfielder,1998-2003,137,14
Mohamed Zidan,Egypt,Striker,1999-2003,51,12
Rasmus Green,Denmark,Midfielder,2000-2003,43,2
Abdul Sule,Nigeria,Striker,2000-2004,137,30
Nicolai Melchiorsen,Denmark,Midfielder,2003-2005,27,0
Prince Nana Takyi,Ghana,Striker,2003-2008,33,12
Samuel Agba,Nigeria,Striker,2006-2007,28,0
Poul Hübertz,Denmark,Striker,2008-2009,29,14
Andreas Sørensen,Denmark,Defender,2008-2010,47,2
Casper Henningsen,Denmark,Midfielder,2009-,57,10
Nicolai Jørgensen,Denmark,Midfielder,2009-2010,32,9
Steen Träger,Denmark,Defender,2000-2005,134,5
