Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Brent Grimes,CB,Shippensburg,PSAC
Atlanta Falcons,Daniel Fells,TE,UC Davis,Great West
Cincinnati Bengals,Nate Livings,G,LSU,SEC
Dallas Cowboys,Miles Austin,WR,Monmouth,NEC
Dallas Cowboys,Stephen Bowen,DE,Hofstra,A-10
Dallas Cowboys,Sam Hurd,WR,NIU,MAC
Dallas Cowboys,Dennis Roland,OT,Georgia,SEC
Dallas Cowboys,Oliver Hoyte,FB / LB,NC State,ACC
Detroit Lions,Matt Prater,K,UCF,C-USA
Green Bay Packers,Jarrett Bush,CB,Utah State,WAC
Green Bay Packers,Jon Ryan,P,Regina,CWUAA
Green Bay Packers,Jason Hunter,DE,Appalachian State,SoCon
Houston Texans,Mike Brisiel,G,Colorado State,MWC
Houston Texans,Tramon Williams,CB,Louisiana Tech,WAC
Jacksonville Jaguars,Montell Owens,RB,Maine,A-10
Kansas City Chiefs,Rudy Niswanger,C,LSU,SEC
Minnesota Vikings,Hank Baskett,WR,New Mexico,MWC
Minnesota Vikings,Donald Penn,OT,Utah State,WAC
New England Patriots,Remi Ayodele,DT,Oklahoma,Big 12
New Orleans Saints,Steve Weatherford,P,Illinois,Big Ten
