Year,Grand Slam,Round,Winner,Loser
1968,French Open,First round,Nikola Špear,Daniel Contet
1981,Davis Cup,Play Off,Thierry Tulasne,Shinichi Sakamoto
1984,Davis Cup,First Round,Emilio Sanchez,Kamel Harrad
1987,French Open,Second round,Karel Nováček,Eduardo Bengoechea
1987,Wimbledon,First round,Stefan Edberg,Stefan Eriksson
1987,US Open,First round,Ivan Lendl,Barry Moir
1993,French Open,Second round,Sergi Bruguera,Thierry Champion
2001,Wimbledon,Qualifying,Todd Woodbridge,Johan Ortegren
2005,Davis Cup,Second Round,Ricardo Mello,David Josepa
2011,Davis Cup,Second round,Andy Murray,Laurent Bram
2016,Davis Cup,First Round,Jarkko Nieminen,Courtney John Lock
2016,Davis Cup,First Round,Emilio Gómez,Adam Hornby
