Site,Municipality,Comments,Type,Ref
* Chūson-ji Precinct 中尊寺境内 Chūson-ji keidai,Hiraizumi,"component of the UNESCO World Heritage Site Hiraizumi - Temples , Gardens and Archaeological Sites Representing the Buddhist Pure Land",3,[ 1 ]
* Muryōkō-in ruins 無量光院跡 Muryōkōin ato,Hiraizumi,"component of the UNESCO World Heritage Site Hiraizumi - Temples , Gardens and Archaeological Sites Representing the Buddhist Pure Land",3,[ 2 ]
* Mōtsū-ji Precinct and associated Chinjusha 毛越寺境内 附 鎮守社跡 Mōtsūji keidai tsuketari chinjūsha ato,Hiraizumi,"component of the UNESCO World Heritage Site Hiraizumi - Temples , Gardens and Archaeological Sites Representing the Buddhist Pure Land",3,[ 3 ]
Ayaorishinden Site 綾織新田遺跡 Ayaorishinden iseki,Tōno,Jōmon period settlement ruins,1,[ 4 ]
Ōshū Kaidō 奥州街道 Ōshū Kaidō,"Ichinohe , Iwate",Edo period highway,6,[ 5 ]
Shimofunato Shell Mound 下船渡貝塚 Shimofunato kaizuka,Ōfunato,Jōmon period shell midden,1,[ 6 ]
Tsunozuka Kofun 角塚古墳 Tsunozuka kofun,Ōshū,Kofun period tumuli,1,[ 7 ]
Kabayama Site 樺山遺跡 Kabayama iseki,Kitakami,Jōmon period settlement,1,[ 8 ]
Hashino iron mining and smelting site 橋野高炉跡 Hashino kōro ato,Kamaishi,"oldest Western-style blast furnace in Japan , built in 1858 ; influenced the development of the Yawata Steel Works and for this reason a component of the UNESCO World Heritage Site Sites of Japans Meiji Industrial Revolution : Iron and Steel , Shipbuilding and Coal Mining",6,[ 9 ]
Kinkeizan 金鶏山 Kinkeizan,Hiraizumi,"component of the UNESCO World Heritage Site Hiraizumi - Temples , Gardens and Archaeological Sites Representing the Buddhist Pure Land","2,3",[ 10 ]
Kunohe Castle ruins 九戸城跡 Kunohe-jō ato,Ninohe,Muromachi period castle ruins,2,[ 11 ]
Goshono Site 御所野遺跡 Goshono iseki,Ichinohe,"submitted for inscription on the UNESCO World Heritage List as one of the Jōmon Archaeological Sites in Hokkaidō , Northern Tōhoku , and other regions",1,[ 12 ]
Ezuriko Kofun Cluster 江釣子古墳群 Ezuriko kofun-gun,Kitakami,Kofun period tumuli,1,[ 13 ]
Former Residence of Takano Chōei 高野長英旧宅 Takano Chōei kyū-taku,Ōshū,Bakumatsu period rangaku scholar residence,8,[ 14 ]
Kunimisan temple ruins 国見山廃寺跡 Kunimisan Haiji ato,Kitakami,Heian period temple ruins,3,[ 15 ]
Honederamura Shōen ruins 骨寺村荘園遺跡 Honederamura shōen iseki,Ichinoseki,Heian period estate ruins,6,[ 16 ]
Sakiyama Shell Mound 崎山貝塚 Sakiyama kaizuka,Miyako,Jōmon period shell midden,1,[ 17 ]
Shiwa Castle ruins 志波城跡 Shiwa-jō ato,Morioka,Heian period castle ruins,2,[ 18 ]
Morioka Castle 盛岡城跡 Morioka-jō ato,Morioka,Edo period castle,2,[ 19 ]
Ōsuzukami Site 大清水上遺跡 Ōsuzukami iseki,Ōshū,Jōmon period settlement ruins,1,[ 20 ]
