Name,Location,Type
ABB Arena,Västerås,Multi-purpose indoor arena
AXA Sports Center,Södertälje,Ice hockey arena
Behrn Arena,Örebro,Football stadium
Coop Norrbotten Arena,Luleå,Ice hockey arena
E.ON Arena,Timrå,Ice hockey arena
Ericsson Globe,Stockholm,Multi-purpose indoor arena
Fjällräven Center,Örnsköldsvik,Multi-purpose indoor arena
Friends Arena,Solna,Football stadium
FM Mattsson Arena,Mora,Multi-purpose indoor arena
Gavlerinken Arena,Gävle,Multi-purpose indoor arena
Kinnarps Arena,Jönköping,Ice hockey arena
Löfbergs Arena,Karlstad,Ice hockey arena
Myresjöhus Arena,Växjö,Football stadium
Norrporten Arena,Sundsvall,Multi-purpose stadium
PEAB Arena,Nyköping,Ice hockey arena
Saab Arena,Linköping,Multi-purpose indoor arena
Skellefteå Kraft Arena,Skellefteå,Ice hockey arena
Swedbank Park,Västerås,Multi-purpose stadium
Tegera Arena,Leksand,Ice hockey arena
Tele2 Arena,Stockholm,Multi-purpose stadium
