Rank,Name,Headquarters,Primary industry,Market value ( USD million )
1,Microsoft,United States,Software industry,"264,003"
2,General Electric,United States,Conglomerate,"259,647"
3,Exxon Mobil,United States,Oil and gas,"241,037"
4,Wal-Mart,United States,Retail,"234,399"
5,Pfizer,United States,Health care,"195,948"
6,Citigroup,United States,Banking,"183,887"
7,Johnson & Johnson,United States,Health care,"170,417"
8,Royal Dutch Shell,The Netherlands,Oil and gas,"149,034"
9,BP,United Kingdom,Oil and gas,"144,381"
10,IBM,United States,"Computer software , computer hardware","139,272"
