Medal,Name,Sport,Event,Date
Gold,Abhinav Bindra & Gagan Narang,Shooting,Men 's 10m Air Rifle ( Pairs ),5 October
Gold,Anisa Sayyed & Rahi Sarnobat,Shooting,Women 's 25m Pistol ( Pairs ),5 October
Gold,Ravinder Singh,Wrestling,Men 's Greco-Roman 60 kg,5 October
Gold,Anil Kumar,Wrestling,Men 's Greco-Roman 96 kg,5 October
Gold,Sanjay Kumar,Wrestling,Men 's Greco-Roman 74 kg,5 October
Gold,Yumnam Renubala Chanu,Weightlifting,Women 's 58kg,6 October
Gold,Katulu Ravi Kumar,Weightlifting,Men 's 69kg,6 October
Gold,Anisa Sayyed,Shooting,Women 's 25m Pistol ( Single ),6 October
Gold,Omkar Singh,Shooting,Men 's 50m Pistol Individual,6 October
Gold,Rajender Kumar,Wrestling,Men 's Greco-Roman 55 kg,6 October
Gold,Gagan Narang,Shooting,Men 's 10m Air Rifle Individual,6 October
Gold,Vijay Kumar & Gurpreet Singh,Shooting,Men 's 25m Rapid Fire Pistol ( Pairs ),7 October
Gold,Omkar Singh & Gurpreet Singh,Shooting,Men 's 10m Air Pistol ( Pairs ),7 October
Gold,Geeta Phogat,Wrestling,Women 's freestyle 55 kg,7 October
Gold,Alka Tomar,Wrestling,Women 's freestyle 59 kg,8 October
Gold,Anita Sheoran,Wrestling,Women 's freestyle 67 kg,8 October
Gold,"Deepika Kumari , Dola Banerjee & Bombayala Devi Laishram",Archery,Women 's recurve team,8 October
Gold,Omkar Singh,Shooting,Men 's 10m Air Pistol ( Singles ),8 October
Gold,Gagan Narang & Imran Hassan Khan,Shooting,Men 's 50m Air Rifle 3 Position ( Pairs ),8 October
Gold,Vijay Kumar,Shooting,Men 's 25m Rapid Fire pistol Individual,8 October
