Round,Pick #,Overall,Name,Position,College
1,1,1,Ron Yary,Offensive tackle,USC
2,6,33,Charlie West,Safety,UTEP
3,21,76,Mike McGill,Linebacker,Notre Dame
4,6,89,Mike Freeman,Cornerback,Fresno State
6,6,144,Bob Goodridge,Wide receiver,Vanderbilt
7,2,167,Oscar Reed,Running back,Colorado State
7,6,171,Lenny Snow,Running back,Georgia Tech
8,6,198,Hank Urbanowicz,Defensive tackle,Miami ( FL )
9,6,225,Mike Donohoe,Tight end,San Francisco
10,4,250,Tom Sakal,Defensive back,Minnesota
11,6,279,Bill Haas,Wide receiver,Nebraska-Omaha
12,8,308,Howie Small,Center,Rhode Island
13,6,333,Rich Wherry,Wide receiver,Northern State ( SD )
14,6,360,Don Evans,Tackle,Arkansas-Pine Bluff
15,6,387,Jim Haynie,Quarterback,West Chester ( PA )
16,6,414,Larry Kuharich,Defensive back,Boston College
17,6,441,Bob Lee,Quarterback,Pacific
17,10,445,Bill Hull,Guard,Tennessee Tech
