Pick,Player,Date signed,Team signed,School/Club Team
31,James White,July 6,Indiana Pacers,Cincinnati
32,Steve Novak,July 26,Houston Rockets,Marquette
33,Solomon Jones,July 13,Atlanta Hawks,South Florida
34,Paul Davis,July 12,Los Angeles Clippers,Michigan State
35,P.J . Tucker,July 25,Toronto Raptors,Texas
36,Craig Smith,August 30,Minnesota Timberwolves,Cincinnati
37,Bobby Jones,July 8,Philadelphia 76ers,Washington
38,Kosta Perović,-,Golden State Warriors,Serbia
39,David Noel,July 3,Milwaukee Bucks,North Carolina
40,Denham Brown,October 2,Seattle SuperSonics,Connecticut
41,James Augustine,July 8,Orlando Magic,Illinois
42,Daniel Gibson,July 7,Cleveland Cavaliers,Texas
43,Marcus Vinicius,October 1,New Orleans/Oklahoma City Hornets,Brazil
44,Lior Eliyahu,-,Houston Rockets,Israel
45,Alexander Johnson,June 17,Memphis Grizzlies,Florida State
46,Dee Brown,August 29,Utah Jazz,Illinois
47,Paul Millsap,August 1,Utah Jazz,Louisiana Tech
48,Vladimir Veremeenko,-,Washington Wizards,Russia
49,Leon Powe,July 14,Boston Celtics,California
50,Ryan Hollins,July 31,Charlotte Bobcats,UCLA
