No,Player,Position,Previous club
1,Ben Cockayne,Fullback,Doncaster Lakers
2,Jon Steel,Winger,Border Reivers
3,Jon Goddard,Centre,Border Reivers
4,Gareth Morton,Centre,Oldham
5,Byron Ford,Winger,North Sydney Bears
6,Scott Murrell,Stand Off,Leeds Rhinos
7,James Webster,Scrum-half,Parramatta Eels
8,Makali Aizue,Prop,Goroka Lethanis
9,Ben Fisher,Hooker,Halifax
10,David Tangata-Toa,Prop,St. George Dragons
11,Iain Morrison,Second row,Huddersfield Giants
13,Tommy Gallagher,Loose forward,Toulouse Olympique
14,Stanley Gene,Utility,Bradford Bulls
15,Jim Gannon,Prop,Huddersfield Giants
16,Jason Netherton,Second row,Leeds Rhinos
17,Mark O'Neill,Second row,Leeds Rhinos
18,Danny Ward,Prop,Castleford Tigers
19,Matty Brooks,Utility,Bradford Bulls
20,Michael Vella,Prop,Parramatta Eels
21,Luke Dyer,Winger,Castleford Tigers
