Team,City,Stadium,Capacity,Field
Alianza Lima,Lima,Nacional,"45,750",Grass
Atlético Chalaco,Callao,Miguel Grau,"15,000",Grass
Atlético Grau,Piura,Miguel Grau ( Piura ),"25,000",Grass
Atlético Torino,Talara,Campeonísimo,"8,000",Grass
Cienciano,Cusco,Garcilaso,"40,000",Grass
CNI,Iquitos,Max Augustín,"24,000",Grass
Defensor Lima,Lima,Nacional,"45,750",Grass
Deportivo Municipal,Lima,Nacional,"45,750",Grass
José Gálvez,Chimbote,Manuel Rivera Sánchez,"25,000",Artificial
Juan Aurich,Chiclayo,Elías Aguirre,"24,500",Grass
León de Huánuco,Huánuco,Heraclio Tapia,"15,000",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
SIMA,Callao,Miguel Grau,"15,000",Grass
Sport Boys,Callao,Miguel Grau,"15,000",Grass
Sporting Cristal,Lima,Nacional,"45,750",Grass
Sportivo Huracán,Arequipa,Mariano Melgar,"20,000",Grass
Unión Tumán,Tumán,Eugenio Zapata Mingoya,"8,000",Grass
Universitario,Lima,Nacional,"45,750",Grass
