Year,Rider,Country,Circuit,Series
1987,Tom Walther,Japan,Fuji,All Japan Road Race Championship TT
2002,Yoshitetsu Ike,Japan,Tsukuba,Kantō Challenge Cup
2005,Shiro Okagawa,Japan,Motegi,All Japan Road Race Championship ST 600
2007,Masao Okuno,Japan,SUGO,All Japan Road Race Championship ST 600
2010,Pascal Grosjean,United Arab Emirates,Dubai Autodrome,United Arab Emirates Sportsbike Championship
2011,Maico Buncio,Philippines,Clark International Speedway,Philippine Underbone King Championship
2012,Naoki Kato,Japan,Motegi,All Japan Road Race Championship ST 600
2013,Muhammad Izzat,Malaysia,Sepang,Malaysian Super Series
2014,Milton Poh,Malaysia,Sepang,Malaysian Super Series
2014,Amaludin Abd Rahman,Malaysia,Sepang,Malaysian Super Series
2016,Taoufik Gattouchi,Qatar,Losail,Losail 600 Cup Series
2018,Federico Fratelli,United Arab Emirates,Dubai Autodrome,United Arab Emirates Sportsbike Championship
2019,Afridza Munandar,Malaysia,Sepang,Asia Talent Cup
