Name,Age,Position,Club
Peter Marker ( c ),23,Half forward,Glenelg
Brenton Adcock,29,Back pocket,Sturt
Paul Bagshaw,25,Ruck-rover,Sturt
Malcolm Blight,22,Ruck-rover,Woodville
Tony Burgan,22,Wingman,Sturt
Neil Button,20,Ruckman,Norwood
Brian Colbey,25,Half back,Glenelg
Mark Coombe,21,Centreman,South Adelaide
Graham Cornes,24,Ruck-rover,Glenelg
Russell Ebert,22,Centreman,Port Adelaide
Glynn Hewitt,19,Full-forward,West Adelaide
Ray Huppatz,23,Rover,Woodville
Bohdan Jaworskyj,24,Centre half back,North Adelaide
Bob Kingston,27,Centre half forward,Port Adelaide
Terry Moore,20,Ruckman,Central District
Robin Mulholland,26,Rover,Central District
Sandy Nelson,26,Half back,Sturt
Dean Ottens,25,Ruckman,Sturt
Dennis Phillis,23,Full-forward,Glenelg
Rodney Pope,26,Half back,West Adelaide
