Name,Type,Class,Dates,Notes
HMAS Paluma,Gunboat,,1911-1916,from Queensland Maritime Defence Force
HMAS Paluma ( 1941 ),Auxiliary patrol vessel,,1941-1945,Motor Boat
HMAS Paluma ( 1946 ),Survey vessel,Unnamed class of 18 MSLs,1946-1973,Converted from Motor Store Lighter No 252 MSL 252 )
HMAS Parkes,Corvette,Bathurst,1944-1957,
HMAS Parramatta ( D55 ),Torpedo boat destroyer,River,1910-1928,
HMAS Parramatta ( U44 ),Sloop,Grimsby,1940-1941,
HMAS Parramatta ( DE 46 ),Destroyer escort,River,1961-1991,
HMAS Patricia Cam,Auxiliary minesweeper,,1942-1943,Converted from a commercial trawler
HMAS Penguin,Depot ship,Osprey,1913-1923,from Royal Navy
HMAS Penguin,Depot ship,Challenger,1923-1929,"ex- HMAS Encounter , scuttled off Sydney on 14 September 1932"
HMAS Phillip,Depot tender,,1916-1921,"ex- HMAS Togo , sold to commercial interests"
HMAS Penguin,Depot ship,,1929-1941,ex- HMAS Platypus ( 1917 )
HMAS Perth ( D29 ),Light cruiser,Leander,1939-1942,ex- HMS Amphion
HMAS Perth ( D 38 ),Destroyer,Charles F. Adams,1965-1999,diving wreck
HMAS Pioneer,Light cruiser,Pelorus,1915-1916,"ex HMS Pioneer from Royal Navy , scuttled off Sydney on 18 February 1931"
HMAS Ping Wo,Repair ship/Stores ship,Auxiliary vessel,1942-1946,Returned to owners in 1946
HMAS Pirie ( J189 ),Corvette,Bathurst,1942-1946,to Turkey
HMAS Platypus ( 1917 ),Submarine tender,,1917-1958,
HMAS Polaris,Surveying tender,,1942-1945,returned to owners
