No,Acronyms,Agency,Headquarters,Head,Established
1,FAO,Food and Agriculture Organization,"Rome , Italy",Qu Dongyu,1946
2,IAEA,International Atomic Energy Agency,"Vienna , Austria",Yukiya Amano,1957
3,ICAO,International Civil Aviation Organization,"Montreal , Quebec , Canada",Fang Liu,1947
4,IFAD,International Fund for Agricultural Development,"Rome , Italy",Gilbert F. Houngbo,1977
5,ILO,International Labour Organization,"Geneva , Switzerland",Guy Ryder,1919
6,IMO,International Maritime Organization,"London , United Kingdom",Kitack Lim,1948
7,IMF,International Monetary Fund,"Washington , D.C. , United States",Kristalina Georgieva,1945
8,ITU,International Telecommunication Union,"Geneva , Switzerland",Houlin Zhao,1865
9,UNESCO,"United Nations Educational , Scientific and Cultural Organization","Paris , France",Audrey Azoulay,1945
10,UPU,Universal Postal Union,"Bern , Switzerland",Bishar Abdirahman Hussein,1947
11,WBG,World Bank Group,"Washington , D.C. , United States",David Malpass,1945
12,WIPO,World Intellectual Property Organization,"Geneva , Switzerland",Francis Gurry,1974
13,WMO,World Meteorological Organization,"Geneva , Switzerland",David Grimes,1950
14,UNWTO,United Nations World Tourism Organization,"Madrid , Spain",Zurab Pololikashvili,1974
15,UNODC,United Nations Office on Drugs and Crime,"Vienna , Austria",Yuri Fedotov,1997
16,WHO,World Health Organization,"Geneva , Switzerland",Tedros Adhanom,1948
17,UNHCR,Office of United Nations High Commissioner for Refugees,"Geneva , Switzerland",Filippo Grandi,1950
18,WFP,Office of United Nations World Food Program,"Rome , Italy",David Beasley,1961
19,UNIDO,United Nations Industrial Development Organization,"Vienna , Austria",Li Yong,1966
