Year,Player,Team ( s ),Doubles
1901,Nap Lajoie,Philadelphia Athletics,48
1902,Harry Davis Ed Delahanty,Philadelphia Athletics Washington Senators,43
1903,Socks Seybold,Philadelphia Athletics,45
1904,Nap Lajoie,Cleveland Naps,47
1905,Harry Davis,Philadelphia Athletics,47
1906,Nap Lajoie,Cleveland Naps,48
1907,Harry Davis,Philadelphia Athletics,35
1908,Ty Cobb,Detroit Tigers,36
1909,Sam Crawford,Detroit Tigers,35
1910,Nap Lajoie,Cleveland Naps,51
1911,Ty Cobb,Detroit Tigers,47
1912,Tris Speaker,Boston Red Sox,53
1913,Joe Jackson,Cleveland Naps,39
1914,Tris Speaker,Boston Red Sox,46
1915,Bobby Veach,Detroit Tigers,40
1916,Jack Graney Tris Speaker,Cleveland Indians,41
1917,Ty Cobb,Detroit Tigers,44
1918,Tris Speaker,Cleveland Indians,33
1919,Bobby Veach,Detroit Tigers,45
1920,Tris Speaker,Cleveland Indians,50
