No,Rider,Nationality,Team,Age,Pos
1,Stefano Garzelli,Italy,Acqua & Sapone,37,26
2,Massimo Codol,Italy,Acqua & Sapone,38,32
3,Claudio Corioni,Italy,Acqua & Sapone,28,150
4,Carlos Betancur,Colombia,Acqua & Sapone,21,59
5,Ruggero Marzoli,Italy,Acqua & Sapone,35,118
6,Vladimir Miholjević,Croatia,Acqua & Sapone,37,31
7,Danilo Napolitano,Italy,Acqua & Sapone,30,DNF-11
8,Cayetano Sarmiento,Colombia,Acqua & Sapone,24,33
9,Fabio Taborre,Italy,Acqua & Sapone,25,98
11,Rinaldo Nocentini,Italy,Ag2r-La Mondiale,33,70
12,Julien Bérard,France,Ag2r-La Mondiale,23,132
13,Mickaël Cherel,France,Ag2r-La Mondiale,25,62
14,Cyril Dessel,France,Ag2r-La Mondiale,36,99
15,Hubert Dupont,France,Ag2r-La Mondiale,30,12
16,John Gadret,France,Ag2r-La Mondiale,32,4
17,Ben Gastauer,Luxembourg,Ag2r-La Mondiale,23,88
18,Yuriy Krivtsov,France,Ag2r-La Mondiale,32,119
19,Matteo Montaguti,Italy,Ag2r-La Mondiale,27,77
21,José Serpa,Colombia,Androni Giocattoli,32,52
22,Emanuele Sella,Italy,Androni Giocattoli,30,35
