Season,Event type,Location,Format,Date,Rank
2005,Grand Prix,Porto Alegre,Rochester Draft,20-21 November 2005,6
2006,Pro Tour,Charleston,Team Constructed,16-18 June 2006,2
2006,Nationals,Brazil,Special,9-10 September 2006,1
2006,Worlds,Paris,Special,29 November-3 December 2006,6
2007,Grand Prix,San Francisco,Block Constructed,25-26 August 2007,3
2007,Invitational,Essen,Special,18-21 October 2007,5
2007,Grand Prix,Daytona Beach,Sealed and Booster Draft,17-18 November 2007,2
2008,Pro Tour,Hollywood,Standard,23-25 May 2008,8
2008,Worlds,Memphis,Special,11-14 December 2008,5
2009,Grand Prix,Barcelona,Standard,23-24 May 2009,3
2009,Grand Prix,Seattle,Standard,30-31 May 2009,3
2009,Nationals,Brazil,Standard and Booster Draft,25-26 July 2009,1
2009,Pro Tour,Austin,Extended and Booster Draft,16-18 October 2009,8
2010,Grand Prix,Houston,Extended,3-4 April 2010,6
2010,Pro Tour,San Juan,Block Constructed and Booster Draft,28-30 May 2010,1
2010,Grand Prix,Portland,Sealed and Booster Draft,11-12 September 2010,8
2010,Worlds,Chiba,Special,9-12 December 2010,3
2011,Grand Prix,Providence,Legacy,28-29 May 2011,4
2011,Grand Prix,Singapore,Standard,4-5 June 2011,1
2011,Grand Prix,Santiago,Sealed and Booster Draft,22-23 October 2011,6
