Island,Capital,Area ( km ),Population ( 2010 ),Population Density ( people/km )
El Hierro,Valverde,268.71,"10,960",40.79
Fuerteventura,Puerto del Rosario,"1,660","103,492",62.34
Gran Canaria,Las Palmas de Gran Canaria,"1,560.1","845,676",542.07
La Gomera,San Sebastián,369.76,"22,776",61.6
Lanzarote,Arrecife,845.94,"141,437",167.2
La Palma,Santa Cruz de La Palma,708.32,"86,324",121.87
Tenerife,Santa Cruz de Tenerife,"2,034.38","906,854",445.76
La Graciosa,Caleta de Sebo,29.05,658,22.65
Alegranza,-,10.3,-,-
Isla de Lobos,-,4.5,-,-
Montaña Clara,-,1.48,-,-
Roque del Este,-,0.06,-,-
Roque del Oeste,-,0.015,-,-
