Crater,Diameter ( km ),Approval Year,Eponym,Ref
Lange,176.23,2009,"Dorothea Lange , American photographer",WGPSN
Larrocha,196,2013,"Alicia de Larrocha , Spanish pianist",WGPSN
Laxness,25.89,2013,"Halldór Laxness , Icelandic writer",WGPSN
L'Engle,62,2013,"Madeleine L'Engle , American author",WGPSN
Lennon,95,2013,"John Lennon , former Beatles member",WGPSN
Leopardi,71.45,1976,"Giacomo Leopardi , Italian writer",WGPSN
Lermontov,166,1976,"Mikhail Lermontov , Russian writer",WGPSN
Lessing,95,1985,"Gotthold Ephraim Lessing , German dramatist",WGPSN
Li Ch'ing-Chao,69,1976,"Li Qingzhao , Chinese writer",WGPSN
Li Po,126,1976,"Li Bai , Chinese poet",WGPSN
Liang K'ai,145,1979,"Liang Kai , Chinese artist",WGPSN
Lismer,139.12,2012,"Arthur Lismer , Canadian painter",WGPSN
Liszt,79,1985,"Franz Liszt , Hungarian composer",WGPSN
Lovecraft,51.97,2013,"H. P. Lovecraft , American author",WGPSN
Lu Hsun,96,1976,"Lu Xun , Chinese writer",WGPSN
Lysippus,155,1976,"Lysippos , Ancient Greek sculptor",WGPSN
