Company,Type,Principal activities,Incorporated in,Group 's equity shareholding
Cal-Asia Investment Inc,Subsidiary,Holding company,British Virgin Islands,100%
CAL Park,Subsidiary,Headquarters,Taiwan,100%
China Aircraft Services Limited,Joint Venture,Maintenance Company,Hong Kong,20%
China Pacific Catering Services Limited,Subsidiary,Catering services,Taiwan,51%
China Pacific Laundry Services Limited,Subsidiary,Laundry,Taiwan,55%
Dynasty Holidays,Subsidiary,Travel agency,Taiwan,51%
Global Sky Express Limited,Joint Venture,Cargo loading,Taiwan,25%
Hwa Hsia Company Limited,Subsidiary,Laundry,Taiwan,100%
Mandarin Airlines,Subsidiary,Airline,Taiwan,93.99%
Taiwan Air Cargo Terminals Limited,Subsidiary,Cargo loading,Taiwan,54%
Taiwan Aircraft Maintenance & Engineering Co. ( TAMECO ),Subsidiary,MRO company,Taiwan,100%
Taoyuan International Airport Services Limited,Subsidiary,Ground handling,Taiwan,49%
Tigerair Taiwan,Subsidiary,Low-cost carrier,Taiwan,100%
