Games,Gold,Silver,Bronze
1938 Vaxholm,Helmut Triebe Hans Eberle Germany,Kurt Bodo Hans Berglund Sweden,Poul Larsen Vagin Jørgensen Denmark
1950 Copenhagen,Lars Glasser Ingemar Hedberg Sweden,Ivar Matthisen Knut Østby Norway,Piet Bakker Harri Kooistra Netherlands
1954 Mâcon,István Mészáros György Mészáros Hungary,Michel Scheurer Gustav Schmidt West Germany,Helmut Nuller Günter Krammer West Germany
1958 Prague,Henri Verbrugghe Germain van der Moere Belgium,Yevgeny Yatsinenko Ivan Golovatzhev Soviet Union,Mikhail Kaleeste Anatoliy Demitkov Soviet Union
1963 Jajce,Vasilie Nicoarǎ Haralambie Ivanov Romania,Wolfgang Lange Dieter Krause East Germany,Nikolay Zhushikov Anatoli Grishin Soviet Union
1966 East Berlin,Aleksandr Shaparenko Yuiry Zhetchenko Soviet Union,Aurel Vernescu Atanase Sciotnic Romania,Ferenc Cseh Endre Hazsik Hungary
1970 Copenhagen,Gerhard Seibold Günther Pfaff Austria,Lars Andersson Rolf Peterson Sweden,Klaus-Peter Ebeling Joachim Mattern East Germany
1971 Belgrade,Reiner Kurth Alexander Slatnow East Germany,Gerhard Seibold Günther Pfaff Austria,Costel Coşniţă Vasilie Simiocenco Romania
1973 Tampere,József Deme János Rátkai Hungary,Ion Dragulsci Ernst Pavel Romania,Herbert Laabs Joachim Mattern East Germany
1974 Mexico City,Zoltán Bakó István Szabó Hungary,Vladimir Kozubin Mikhail Afanasiyev Soviet Union,Volkmar Thiede Rüdiger Helm East Germany
1975 Belgrade,Alexandre Slatnow Gerhard Rummel East Germany,Larion Serghei Policarp Malîhin Romania,József Deme János Rátkai Hungary
1977 Sofia,Zoltán Bakó István Szabó Hungary,Bernd Olbricht Joachim Mattern East Germany,Vladimir Romanovskiy Sergey Nagomy Soviet Union
1978 Belgrade,Sergey Zhuchray Vladimir Trainikov Soviet Union,Einar Rasmussen Olaf Søyland Norway,Zoltán Bakó István Szabó Hungary
1979 Duisburg,Einar Rasmussen Olaf Søyland Norway,Zoltán Bakó István Szabó Hungary,Sergey Zhuchray Vladimir Trainikov Soviet Union
1981 Nottingham,Vladimir Parfenovich Sergey Superata Soviet Union,Bernd Fleckeisen Frank Fischer East Germany,Waldemar Merk Daniel Wełna Poland
1982 Belgrade,Vladimir Parfenovich Sergey Superata Soviet Union,Alwyn Morris Hugh Fisher Canada,Luis Gregorio Ramos Herminio Rodriguez Spain
1983 Tampere,Frank Fischer André Wohllebe East Germany,Vladimir Parfenovich Sergey Superata Soviet Union,Werner Bachmayer Wolfgang Hartl Austria
1985 Mechelen,Pascal Boucherit Philippe Boccara France,Viktor Pusev Sergey Superata Soviet Union,Don Brien Colin Shaw Canada
1986 Montreal,Daniel Stoian Angelin Velea Romania,André Wohllebe Frank Fischer East Germany,Kerry Grant Steven Wood Australia
1987 Duisburg,Ian Ferguson Paul MacDonald New Zealand,Philippe Boccara Pascal Boucherit France,Thomas Gähme Thomas Vaske East Germany
