Name,Location,Date,UNESCO data,Description
Historic Centre of Kraków,Kraków 50°04′01″N 19°57′36″E / 50.067°N 19.96°E / 50.067 ; 19.96 ( Cracow 's Historic Centre ),11th-19th century,29 ; 1978 ; iv,"Kraków Old Town is the historic central district of Kraków , Poland . It is one of the most famous old districts in Poland today and was the center of Poland 's political life from 1038 until King Sigismund III Vasa relocated his court to Warsaw in 1596 . The entire medieval old town is among the first sites chosen for the UNESCO 's World Heritage List , inscribed as Cracow 's Historic Centre"
Wieliczka and Bochnia Royal Salt Mines,Wieliczka 49°58′45″N 20°03′50″E / 49.979167°N 20.063889°E / 49.979167 ; 20.063889 ( Wieliczka Salt Mine ),13th-20th century,32 ; 1978 ; iv,"The Wieliczka Salt Mine , located in the town of Wieliczka in southern Poland , lies within the Kraków metropolitan area . The mine continuously produced table salt from the 13th century until 2007 as one of the world 's oldest operating salt mines , for most of this time span being a part of the undertaking żupy krakowskie . It is believed to be the world 's 14th-oldest company"
"Auschwitz Birkenau , German Nazi Concentration and Extermination Camp ( 1940-1945 )",Oświęcim 50°02′09″N 19°10′42″E / 50.035833°N 19.178333°E / 50.035833 ; 19.178333 ( Auschwitz Birkenau German Nazi Concentration and Extermination Camp ( 1940-1945 ) ),1940-1945,31 ; 1979 ; vi,"Auschwitz was a network of Nazi concentration and extermination camps built and operated by the Third Reich in Polish areas annexed by Nazi Germany during World War II . It was the largest of the German concentration camps , consisting of Auschwitz I ( the Stammlager or base camp ) ; Auschwitz II-Birkenau ( the Vernichtungslager or extermination camp ) ; Auschwitz III-Monowitz , also known as Buna-Monowitz ( a labor camp ) ; and 45 satellite camps"
Białowieza Forest,Belarus and Poland 52°40′00″N 23°50′00″E / 52.666667°N 23.833333°E / 52.666667 ; 23.833333 ( Belovezhskaya Pushcha / Białowieża Forest ),N/A,33 ; 1979 ; vii,"The Białowieża Forest is an ancient woodland straddling the border between the two countries , located 70 km ( 43 mi ) north of Brest ( Belarus ) and 62 km ( 39 mi ) south-east of Białystok ( Poland ) . It is one of the last and largest remaining parts of the immense primeval forest which once spread across the European Plain . The first recorded piece of legislation on the protection of the forest dates to 1538 , when a document issued by King Sigismund I the Old instituted the death penalty for poaching a wisent ( European bison )"
Historic Centre of Warsaw,Warsaw 52°14′59″N 21°00′44″E / 52.2498°N 21.0122°E / 52.2498 ; 21.0122 ( Historic Centre of Warsaw ),13th-20th century,"30 ; 1980 ; ii , vi","Warsaw 's Old Town was established in the 13th century . Initially surrounded by an earthwork rampart , prior to 1339 it was fortified with brick city walls . The town originally grew up around the castle of the Dukes of Mazovia that later became the Royal Castle . The Market Square ( Rynek Starego Miasta ) was laid out sometime in the late 13th or early 14th century , along the main road linking the castle with the New Town to the north"
Old City of Zamość,Zamość 50°43′14″N 23°15′31″E / 50.720556°N 23.258611°E / 50.720556 ; 23.258611 ( Old City of Zamość ),1582-17th century,564 ; 1992 ; iv,"Jan Zamoyski commissioned the Italian architect Bernardo Morando to design the city that would be based on the anthropomorphic concept . The main distinguishing features of the Old Town have been well preserved since its establishment . It includes the regular Great Market Square of 100 x 100 meters with the splendid Townhall and so-called Armenian houses , as well as the fragments of the original fortress and fortifications , including those from the period of the Russian occupation in the 19th century"
Castle of the Teutonic Order in Malbork,Malbork 54°02′23″N 19°01′40″E / 54.039722°N 19.027778°E / 54.039722 ; 19.027778 ( Castle of the Teutonic Order in Malbork ),13th-14th century,"847 ; 1997 ; ii , iii , iv","The Castle in Malbork is the largest castle in the world by area . It was built in Prussia by the Teutonic Knights , a German Roman Catholic religious order of crusaders , in a form of an Ordensburg fortress . The Order named it Marienburg ( Mary 's Castle ) . The town which grew around it was also named Marienburg . The castle is a classic example of a medieval fortress , and on its completion in 1406 was the world 's largest brick Gothic castle"
Medieval Town of Toruń,Toruń 53°02′00″N 18°37′00″E / 53.033333°N 18.616667°E / 53.033333 ; 18.616667 ( Medieval Town of Toruń ),12th-15th century,"835 ; 1997 ; ii , iv","Toruń has many monuments of architecture beginning from the Middle Ages , including 200 military structures . The city is famous for having preserved almost intact its medieval spatial layout and many Gothic buildings , all built from brick , including monumental churches , the Town Hall and many burgher houses . In 1236 , due to frequent flooding , the city was relocated to the present site of the Old Town . In 1264 the nearby New Town was founded . In 1280 , the city ( or as it was then , both cities ) joined the mercantile Hanseatic League , and thus became an important medieval trade centre"
Kalwaria Zebrzydowska : the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,Kalwaria Zebrzydowska 49°51′37″N 19°40′15″E / 49.860319°N 19.670719°E / 49.860319 ; 19.670719 ( Kalwaria Zebrzydowska : the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park ),1605-1632,"905 ; 1999 ; ii , iv","The town is named after the religious complex ( calvary ) founded by Governor of Kraków Mikołaj Zebrzydowski on December 1 , 1602 . The complex is known as the Kalwaria Zebrzydowska park . The city of Zebrzydów was established in 1617 in order to house the growing number of pilgrims visiting the religious complex"
Churches of Peace in Jawor and Swidnica,"Jawor , Świdnica 51°03′14″N 16°11′46″E / 51.054°N 16.196°E / 51.054 ; 16.196 ( Churches of Peace in Jawor and Swidnica )",1654-1657,"1054 ; 2001 ; iii , iv , vi","The Churches of Peace in Jawor and Świdnica in Silesia were named after the Peace of Westphalia of 1648 which permitted the Lutherans in the Roman Catholic parts of Silesia to build three Evangelical churches from wood , loam and straw outside the city walls , without steeples and church bells . The construction time was limited to one year"
