Year,Champion,Score,Runner-up,MVP,Venue
1980,Georgetown,87-81,Syracuse,"Craig Shelton , GU","Providence Civic Center ( Providence , Rhode Island )"
1981,Syracuse,83-80,Villanova,"Leo Rautins , SU","Carrier Dome ( Syracuse , New York )"
1982,Georgetown,72-54,Villanova,"Eric Floyd , GU","Hartford Civic Center ( Hartford , Connecticut )"
1983,St. John 's,85-77,Boston College,"Chris Mullin , St. John 's",Madison Square Garden ( New York City )
1984,Georgetown,82-71,Syracuse,"Patrick Ewing , GU",Madison Square Garden ( New York City )
1985,Georgetown,92-80,St. John 's,"Patrick Ewing , GU",Madison Square Garden ( New York City )
1986,St. John 's,70-69,Syracuse,"Dwayne Washington , SU",Madison Square Garden ( New York City )
1987,Georgetown,69-59,Syracuse,"Reggie Williams , GU",Madison Square Garden ( New York City )
1988,Syracuse,85-68,Villanova,"Sherman Douglas , SU",Madison Square Garden ( New York City )
1989,Georgetown,88-79,Syracuse,"Charles Smith , GU",Madison Square Garden ( New York City )
1990,Connecticut,78-75,Syracuse,"Chris Smith , UConn",Madison Square Garden ( New York City )
1991,Seton Hall,74-62,Georgetown,"Oliver Taylor , SH",Madison Square Garden ( New York City )
1992,Syracuse,56-54,Georgetown,"Alonzo Mourning , GU",Madison Square Garden ( New York City )
1993,Seton Hall,103-70,Syracuse,"Terry Dehere , SH",Madison Square Garden ( New York City )
1994,Providence,74-64,Georgetown,"Michael Smith , PC",Madison Square Garden ( New York City )
1995,Villanova,94-78,Connecticut,"Kerry Kittles , VU",Madison Square Garden ( New York City )
1996,Connecticut,75-74,Georgetown,"Victor Page , GU",Madison Square Garden ( New York City )
1997,Boston College,70-58,Villanova,"Scoonie Penn , BC",Madison Square Garden ( New York City )
1998,Connecticut,69-64,Syracuse,"Khalid El-Amin , UConn",Madison Square Garden ( New York City )
1999,Connecticut,82-63,St. John 's,"Kevin Freeman , UConn",Madison Square Garden ( New York City )
