Year,Title,Role
1993,The Piano,Flora McGrath
1996,Jane Eyre,Young Jane Eyre
1996,Fly Away Home,Amy Alden
1997,Amistad,Queen Isabella II of Spain
1998,Hurlyburly,Donna
1998,Laputa : Castle in the Sky,Sheeta ( voice )
1999,A Walk on the Moon,Alison Kantrowitz
1999,She 's All That,Mackenzie Siler
1999,It 's the Rage,Annabel Lee
2000,X-Men,Marie / Rogue
2000,Almost Famous,Polexia Aphrodisia
2000,Finding Forrester,Claire Spence
2001,Buffalo Soldiers,Robyn Lee
2002,Darkness,Regina
2002,25th Hour,Mary D'Annunzio
2003,X2,Marie / Rogue
2005,Steamboy,James Ray Steam ( voice )
2005,The Squid and the Whale,Lili
2006,X-Men : The Last Stand,Marie / Rogue
2007,Blue State,Chloe Hamon
