Conference,Nickname,Founded,Members,Sports,Headquarters
American Athletic Conference,The American,2013,12,22,"Providence , Rhode Island"
Atlantic Coast Conference,ACC,1953,15,27,"Greensboro , North Carolina"
Big Ten Conference,Big Ten B1G,1896,14,28,"Rosemont , Illinois"
Big 12 Conference,Big 12,1996,10,23,"Irving , Texas"
Conference USA,C-USA,1995,14,19,"Irving , Texas"
Division I FBS Independents,Ind,,6,1,None
Mid-American Conference,MAC,1946,12,23,"Cleveland , Ohio"
Mountain West Conference,MW MWC,1999,11,18,"Colorado Springs , Colorado"
Pac-12 Conference,Pac-12,1959,12,24,"San Francisco , California"
Southeastern Conference,SEC,1932,14,21,"Birmingham , Alabama"
Sun Belt Conference,Sun Belt,1976,12,18,"New Orleans , Louisiana"
