Year,Champion,Score,Runner-up,MVP,Location
2002,Florida Atlantic,76-75,Georgia State,"Thomas Terrell , Georgia State","UCF Arena • Orlando , Florida"
2003,Troy State,80-59,Central Florida,"Ben Fletcher , Troy",GSU Sports Arena • Atlanta
2004,Central Florida,60-55,Troy State,"Dexter Lyons , UCF","Curb Event Center • Nashville , Tennessee"
2005,Central Florida,63-54,Gardner-Webb,"Gary Johnson , UCF","Curb Event Center • Nashville , Tennessee"
2006,Belmont,74-69,Lipscomb,"Justin Hare , Belmont","Memorial Center • Johnson City , Tennessee"
2007,Belmont,94-67,East Tennessee State,"Justin Hare , Belmont","Memorial Center • Johnson City , Tennessee"
2008,Belmont,79-61,Jacksonville,"Shane Dansby , Belmont","Allen Arena • Nashville , Tennessee"
2009,East Tennessee State,85-68,Jacksonville,"Kevin Tiggs , ETSU","Allen Arena • Nashville , Tennessee"
2010,East Tennessee State,72-66,Mercer,"Micah Williams , ETSU","University Center • Macon , Georgia"
2011,Belmont,87-46,North Florida,"Mick Hedgepeth , Belmont","University Center • Macon , Georgia"
2012,Belmont,83-69,Florida Gulf Coast,"Kerron Johnson , Belmont","University Center • Macon , Georgia"
2013,Florida Gulf Coast,88-75,Mercer,"Brett Comer , FGCU","University Center • Macon , Georgia"
2014,Mercer,68-60,Florida Gulf Coast,"Langston Hall , Mercer","Alico Arena • Fort Myers , Florida"
2015,North Florida,63-57,USC Upstate,"Demarcus Daniels , North Florida","UNF Arena • Jacksonville , Florida"
2016,Florida Gulf Coast,80-78,Stetson,"Marc-Eddy Norelia , FGCU","Alico Arena • Fort Myers , Florida"
2017,Florida Gulf Coast,77-61,North Florida,"Brandon Goodwin , FGCU","Alico Arena • Fort Myers , Florida"
2018,Lipscomb,108-96,Florida Gulf Coast,"Garrison Mathews , Lipscomb","Alico Arena • Fort Myers , Florida"
2019,Liberty,74-68,Lipscomb,"Scottie James , Liberty","Allen Arena • Nashville , Tennessee"
